"tag","topic","propensity"
"cordova-ios","topic_877","0.0028705574"
"html-sanitizing","topic_108","0.009143309"
"stochastic","topic_283","0.007469634"
"muse","topic_255","0.0048625073"
"diazo","topic_997","0.0023969503"
"tvirtualstringtree","topic_581","0.0054435763"
"rightbarbuttonitem","topic_611","0.004589157"
"instant","topic_982","0.00722865"
"c++builder-2010","topic_583","0.0043747793"
"ocl","topic_879","0.0053345673"
"stackframe","topic_903","0.008404432"
"ipopt","topic_125","0.0036082543"
"rewardedvideoad","topic_667","0.0070799585"
"ldif","topic_907","0.002883807"
"collectionfs","topic_800","0.008962524"
"rvm-capistrano","topic_898","0.006330514"
"android-looper","topic_442","0.00018980754"
"multiple-axes","topic_741","0.0027908087"
"rep","topic_296","0.004472119"
"resharper-8.0","topic_79","0.0074848686"
"angularjs-ng-init","topic_418","0.008992807"
"om","topic_836","0.0033430285"
"zend-auth","topic_781","0.003958898"
"eoferror","topic_983","0.001091069"
"bind-variables","topic_628","0.003684592"
"isnullorempty","topic_875","0.003199447"
"facebook-sdk-3.1","topic_490","0.0035468005"
"payum","topic_802","0.005057037"
"multiple-versions","topic_148","0.003975245"
"grunt-contrib-connect","topic_224","0.005783329"
"jquery-selectbox","topic_763","0.010192825"
"splitcontainer","topic_847","0.001110746"
"rubyzip","topic_674","0.00056781486"
"osx-gatekeeper","topic_596","0.004443405"
"virtualpathprovider","topic_302","0.0019528978"
"selenium-grid2","topic_602","0.0029710694"
"checkmark","topic_201","0.003415249"
"strncpy","topic_652","0.0144024035"
"sql-server-2008r2-express","topic_548","0.020947516"
"adwhirl","topic_28","0.0034685833"
"fdt","topic_857","0.017289694"
"iomanip","topic_47","0.0021952349"
"data-url","topic_293","0.008998043"
"kendo-listview","topic_125","0.0033116853"
"rvo","topic_923","0.004516204"
"sqlpackage","topic_460","0.011767582"
"nexus-4","topic_939","0.009548647"
"hot-module-replacement","topic_724","0.0106482925"
"pypdf","topic_385","0.010890564"
"backlog","topic_436","0.0053094327"
"backlog","topic_614","5.1071573e-05"
"screen-density","topic_988","0.015859611"
"modal-window","topic_258","0.004067622"
"boost-any","topic_611","0.0051317173"
"matlab-uitable","topic_207","0.0087035075"
"dimensional","topic_178","0.0045418153"
"database-cleaner","topic_985","0.010482461"
"realbasic","topic_926","0.0037329127"
"metatable","topic_254","0.005251602"
"implicits","topic_644","0.008839956"
"computation-expression","topic_885","0.0017923343"
"rest-assured-jsonpath","topic_462","0.003597913"
"multibranch-pipeline","topic_605","0.0068839886"
"free-monad","topic_584","0.0012184731"
"unity3d-editor","topic_581","0.005026444"
"maven-compiler-plugin","topic_588","0.0023677167"
"mobilefirst-cli","topic_989","0.0053127264"
"single-quotes","topic_231","0.013234307"
"pass-data","topic_310","0.015768358"
"pointer-events","topic_343","0.0066390717"
"visual-glitch","topic_691","0.007973405"
"game-theory","topic_223","0.00823332"
"javascript-injection","topic_973","0.007938751"
"hssf","topic_112","0.004527185"
"maven-resources-plugin","topic_520","0.008132405"
"xcode9-beta","topic_224","0.013548737"
"tpm","topic_681","0.0025220565"
"oci8","topic_255","0.012482541"
"strawberry-perl","topic_650","0.004181688"
"beaker","topic_479","0.005655578"
"2checkout","topic_34","0.004248911"
"google-classroom","topic_532","0.004771645"
"pointcut","topic_713","0.0020591049"
"angularjs-select2","topic_314","0.005044888"
"botan","topic_751","0.0047438857"
"redirectstandardoutput","topic_926","0.0057658604"
"swc","topic_71","0.019868672"
"qtwidgets","topic_29","0.0052240216"
"dxgi","topic_888","0.0038365573"
"oledbdatareader","topic_680","0.004110764"
"mbstring","topic_375","0.010220994"
"smtp-auth","topic_187","0.0070841494"
"gcc4.9","topic_923","0.004232834"
"ar.drone","topic_304","0.0015772749"
"commerce","topic_121","0.0056509883"
"configurationmanager","topic_704","0.011748092"
"syntaxhighlighter","topic_389","0.0012195929"
"spotipy","topic_773","0.002734968"
"static-initialization","topic_110","0.009439076"
"bulletedlist","topic_977","0.004710853"
"angular-cli-v7","topic_20","0.0010380213"
"xtk","topic_556","0.010474229"
"mnemonics","topic_757","0.0040866635"
"nnet","topic_694","0.0028111709"
"x-sendfile","topic_778","0.006694749"
"parity","topic_895","0.0025800518"
"data-protection","topic_691","0.010830325"
"sigkill","topic_579","0.007658559"
"episerver-7","topic_534","0.0030622375"
"git-merge-conflict","topic_37","0.005252431"
"url.action","topic_832","0.0044015795"
"xbrl","topic_68","0.01570903"
"interface-implementation","topic_264","0.0018117382"
"yaws","topic_277","0.0173512"
"copy-elision","topic_316","0.0060327007"
"adjustment","topic_283","0.0044551822"
"return-value-optimization","topic_942","0.00670353"
"basichttpbinding","topic_428","0.0042937216"
"spamassassin","topic_963","0.007064006"
"callout","topic_134","0.0050943983"
"parseexception","topic_402","0.0035612127"
"sphinxql","topic_544","0.005498477"
"construct-2","topic_334","0.007999697"
"torrent","topic_577","0.005769839"
"e","topic_473","0.009239007"
"unauthorizedaccessexcepti","topic_903","0.0076277847"
"epl","topic_298","0.004489326"
"jquery-traversing","topic_247","0.0003413974"
"srt","topic_645","0.0019226221"
"columnstore","topic_631","0.004119458"
"cloneable","topic_18","0.016005881"
"maf","topic_726","0.006576138"
"type-alias","topic_518","0.0132271275"
"progressive-enhancement","topic_53","0.0033091921"
"facebook-audience-network","topic_281","0.007686678"
"tivoli","topic_507","0.0050061117"
"typesafe-config","topic_980","0.009619224"
"metastore","topic_883","0.0027980641"
"ezpublish","topic_375","0.012369552"
"apiary","topic_874","0.0016417892"
"uberjar","topic_67","0.0028174205"
"camanjs","topic_344","0.0040436005"
"nedb","topic_606","0.0076189963"
"rrd","topic_928","0.010420427"
"esi","topic_862","0.0055780406"
"stripslashes","topic_918","0.0023471543"
"binary-serialization","topic_734","0.0036119153"
"jsonobjectrequest","topic_204","0.0092539275"
"remap","topic_812","0.0066166804"
"sqltransaction","topic_572","0.0030743084"
"setupapi","topic_658","0.004655472"
"jqlite","topic_770","0.0005628462"
"control-m","topic_40","0.005354956"
"dead-code","topic_364","0.007686592"
"panda3d","topic_354","0.0054699257"
"gqlquery","topic_837","0.005013393"
"junit-runner","topic_120","0.0042872247"
"cropperjs","topic_744","0.0031464575"
"css-calc","topic_728","0.0014667816"
"openshift-enterprise","topic_504","0.0051796385"
"balance","topic_818","0.005193194"
"webix","topic_613","0.019259654"
"fits","topic_464","0.015308776"
"standards-compliance","topic_849","0.010229066"
"multi-agent","topic_378","0.012426384"
"ninject-extensions","topic_150","0.0066778166"
"openseadragon","topic_973","0.0047820965"
"smslib","topic_402","0.0021625492"
"jsctypes","topic_32","0.0037129757"
"vundle","topic_617","0.0012655421"
"offline-mode","topic_35","0.0054298234"
"kombu","topic_982","0.0067784227"
"mpmediapickercontroller","topic_409","0.006412551"
"tf-cli","topic_68","0.010991603"
"phar","topic_975","0.032523427"
"cs4","topic_300","0.001450214"
"suffix","topic_910","0.004169801"
"tun","topic_402","0.0022486206"
"project.json","topic_295","0.011647053"
"google-analytics-filters","topic_256","0.0036228686"
"server.xml","topic_851","0.009611642"
"scrapy-pipeline","topic_841","0.0075733247"
"regasm","topic_360","0.01876616"
"malware-detection","topic_807","0.0051360196"
"papyrus","topic_879","0.004525716"
"cadisplaylink","topic_373","0.0015987108"
"expectations","topic_211","0.0046650525"
"cellular-automata","topic_284","0.0042069047"
"onunload","topic_0","0.0057269866"
"capability","topic_685","0.0018916465"
"xelatex","topic_551","0.0045062318"
"android-wallpaper","topic_968","0.004865165"
"range-v3","topic_94","0.007757426"
"lokijs","topic_764","0.0028650493"
"uisearchbardelegate","topic_680","0.003356495"
"inversion","topic_234","0.005744905"
"zend-db-select","topic_614","0.0021085613"
"broadcasting","topic_736","0.0024973492"
"bsxfun","topic_229","0.009635785"
"winhttprequest","topic_953","0.007042654"
"expression-blend-4","topic_927","0.0030619118"
"mongoid3","topic_776","0.0015280971"
"onerror","topic_293","0.016131038"
"wysihtml5","topic_170","0.0046788254"
"netweaver","topic_752","0.005003597"
"xmltextreader","topic_629","0.009807878"
"live-sdk","topic_96","0.0057048486"
"libsass","topic_764","0.0033961316"
"flipclock","topic_973","0.0047820965"
"ng-build","topic_239","0.004002544"
"recommender-systems","topic_837","0.0048382524"
"ng-upgrade","topic_239","0.0045716264"
"disjoint-sets","topic_78","0.0021642998"
"disjoint-sets","topic_145","0.0011595855"
"osrm","topic_180","0.00821956"
"cakephp-3.1","topic_187","0.0039356383"
"perlbrew","topic_510","0.0043405048"
"drawstring","topic_742","0.02192794"
"defaults","topic_680","0.0029542185"
"parallel-coordinates","topic_649","0.002090112"
"responsetext","topic_790","0.007588554"
"semantic-mediawiki","topic_330","0.0038342483"
"emotion","topic_682","0.0046381354"
"kvc","topic_542","0.00876268"
"newrelic-platform","topic_812","0.003495298"
"graphdb","topic_135","0.0052458313"
"xs","topic_945","0.0048620207"
"reactjs.net","topic_866","0.0062004603"
"unity-networking","topic_581","0.005818995"
"freeimage","topic_553","0.0032194685"
"xslcompiledtransform","topic_241","0.0014273961"
"cleartimeout","topic_457","0.008241579"
"munit","topic_769","0.0019655565"
"incremental-build","topic_981","0.0026201145"
"tango","topic_880","0.0058764094"
"jmc","topic_725","0.003109801"
"datapicker","topic_204","0.008266842"
"android-thread","topic_871","0.0024904753"
"getelementsbyname","topic_17","0.00700263"
"wma","topic_858","0.002293412"
"rstan","topic_795","0.01273861"
"api-ai","topic_714","0.004085477"
"inputstreamreader","topic_835","0.016316604"
"simplex","topic_443","0.0024060619"
"php-7.3","topic_329","0.0057742954"
"database-optimization","topic_69","0.014310602"
"async-ctp","topic_211","0.007865233"
"aslr","topic_784","0.006075913"
"802.11","topic_947","0.0062515065"
"namecheap","topic_568","0.006707754"
"caffe2","topic_746","0.0064058085"
"ecb","topic_554","0.0015570811"
"sobel","topic_826","0.0021353182"
"tdbgrid","topic_27","0.005609454"
"angular-changedetection","topic_992","0.005110618"
"google-app-engine-php","topic_89","0.007022324"
"windows-10-desktop","topic_724","0.018385805"
"asp.net-authentication","topic_215","0.007694262"
"rserve","topic_876","0.0021327208"
"rexx","topic_200","0.0031116789"
"appfog","topic_840","0.010088761"
"callgrind","topic_416","0.0016213983"
"eclipse-virgo","topic_807","0.0035653713"
"ash","topic_298","0.005755039"
"graphael","topic_768","0.005550052"
"argumentexception","topic_994","0.0085892705"
"android-account","topic_760","0.0033088834"
"onvif","topic_128","0.013435048"
"law-of-demeter","topic_195","0.0029897646"
"project-server","topic_459","0.005640288"
"multiple-value","topic_896","0.003985449"
"emplace","topic_316","0.00396542"
"pimcore","topic_611","0.009743481"
"ryu","topic_581","0.004317319"
"messageui","topic_90","0.0069626034"
"itemizedoverlay","topic_904","0.006970473"
"createuserwizard","topic_688","0.0049343337"
"zfcuser","topic_371","0.019000875"
"synapse","topic_14","0.025235033"
"frameworkelement","topic_76","0.00071132963"
"xnu","topic_309","0.0027745552"
"cockroachdb","topic_3","0.0107667735"
"timedelay","topic_537","0.00403636"
"vcl-styles","topic_581","0.0074458104"
"bytea","topic_808","0.008222465"
"end-of-line","topic_905","0.0053218636"
"pocketpc","topic_163","0.00773653"
"diagramming","topic_287","0.006646972"
"xps","topic_223","0.020931734"
"rml","topic_938","0.0062353862"
"enyo","topic_448","0.034031868"
"vmware-fusion","topic_26","0.003410444"
"rootview","topic_663","0.0077972515"
"assembla","topic_66","0.010063698"
"otool","topic_919","0.0070073237"
"file-encodings","topic_21","0.003788534"
"dendextend","topic_308","0.006459778"
"intel-pin","topic_305","0.011579672"
"log4cplus","topic_701","0.004502146"
"nspasteboard","topic_899","0.006234669"
"mod-perl2","topic_293","0.010110528"
"uiactivity","topic_156","0.009169727"
"castor","topic_670","0.0007937328"
"slidingpanelayout","topic_0","0.003293423"
"biztalk2006r2","topic_852","0.0037161268"
"saxparseexception","topic_608","0.0065962183"
"treetableview","topic_322","0.008480978"
"bootstrap-switch","topic_299","0.0032757628"
"nscell","topic_408","0.0038250263"
"orientdb-2.1","topic_527","0.0042646206"
"nsstringencoding","topic_760","0.0038304809"
"multiple-views","topic_586","0.0034605903"
"pdftron","topic_725","0.004731024"
"xinput","topic_955","0.004120691"
"autopostback","topic_260","0.04443961"
"error-checking","topic_125","0.0040366314"
"mindstorms","topic_714","0.0031227362"
"pairing","topic_833","0.0030089796"
"android-anr-dialog","topic_622","0.011470341"
"android-configchanges","topic_968","0.005567353"
"timeago","topic_260","0.017616356"
"isa","topic_2","0.0014277938"
"android-actionmode","topic_810","0.005990998"
"vmware-player","topic_141","0.010368966"
"omnicomplete","topic_347","0.0057138763"
"image-caching","topic_621","0.006881666"
"lcm","topic_258","0.0037930147"
"ajax-upload","topic_451","0.005139235"
"filter-var","topic_978","0.0018598391"
"busyindicator","topic_939","0.011736003"
"smime","topic_632","0.009833741"
"post-processing","topic_873","0.01066668"
"column-count","topic_63","0.003968329"
"xuggle","topic_522","0.007406542"
"procedures","topic_589","0.01242142"
"angularjs-ng-form","topic_208","0.005795401"
"android-runtime","topic_719","0.006303344"
"addressing","topic_964","0.0021295613"
"sonata-media-bundle","topic_766","0.0066898535"
"projectile","topic_619","0.0024064956"
"zenity","topic_469","0.009693941"
"stochastic-process","topic_760","0.0035696821"
"shim","topic_764","0.0065546734"
"localizable.strings","topic_669","0.017317234"
"zend-gdata","topic_63","0.0057531283"
"pressed","topic_974","0.0040224628"
"nsbezierpath","topic_980","0.007679213"
"telerik-open-access","topic_774","0.007992157"
"jquery-blockui","topic_415","0.009262368"
"cgpath","topic_987","0.008066238"
"description-logic","topic_17","0.0063910466"
"startactivityforresult","topic_600","0.004446521"
"ag-grid-angular","topic_411","0.012749871"
"thunderbird-addon","topic_164","0.004330475"
"angular-router-guards","topic_570","0.0019299185"
"react-navigation-stack","topic_626","0.004173868"
"quickblox-android","topic_239","0.005595974"
"discriminated-union","topic_22","0.010723202"
"mpnowplayinginfocenter","topic_618","0.00020224825"
"currentlocation","topic_263","0.0056627835"
"structural-search","topic_369","0.01619351"
"network-share","topic_772","0.00598919"
"background-size","topic_482","0.01068408"
"biginsights","topic_584","0.00094465894"
"office-2016","topic_498","0.0084086545"
"getenv","topic_424","0.0032405332"
"kong","topic_605","0.010723509"
"jtag","topic_997","0.0023801296"
"chord-diagram","topic_201","0.002921478"
"google-identity-toolkit","topic_262","0.005812415"
"node-pdfkit","topic_398","0.004500708"
"hyperthreading","topic_511","0.010285399"
"css-filters","topic_481","0.0020599791"
"one-definition-rule","topic_508","0.01320092"
"ansible-template","topic_882","0.010149227"
"jquery-multiselect","topic_640","0.01824334"
"createobject","topic_678","0.0054544625"
"simplecart","topic_88","0.00046775764"
"policies","topic_661","0.013802921"
"systemtime","topic_632","0.005809914"
"cyclic-reference","topic_998","0.0014386218"
"apache-httpcomponents","topic_195","0.010376241"
"recurring-events","topic_767","0.005635178"
"findby","topic_471","0.010352508"
"optional-parameters","topic_996","0.036846798"
"celltable","topic_815","0.004246083"
"compose","topic_942","0.0073831505"
"xcdatamodel","topic_542","0.0050239363"
"eye-tracking","topic_929","0.0037083486"
"azure-managed-identity","topic_992","0.0040602144"
"cancellationtokensource","topic_739","0.005152242"
"autoformatting","topic_939","0.015437681"
"logstash-file","topic_868","0.007295274"
"mpld3","topic_108","0.006796071"
"symfony3.x","topic_311","0.006717411"
"c++-faq","topic_424","0.004949471"
"android-googleapiclient","topic_136","0.008340093"
"spark-avro","topic_8","0.007672556"
"database-tuning","topic_558","0.0027235432"
"quantlib","topic_435","0.0054270555"
"uialertaction","topic_373","0.0019800842"
"uialertaction","topic_773","4.6743808e-05"
"unused-variables","topic_790","0.006529686"
"gml","topic_156","0.017595962"
"unidata","topic_691","0.0053762044"
"universe","topic_691","0.0071423007"
"floyd-warshall","topic_904","0.0055119307"
"multi-table","topic_333","0.0028468522"
"rrule","topic_435","0.0016188729"
"rrule","topic_767","0.002529422"
"powershell-1.0","topic_381","0.0036915268"
"windows-mobile-6","topic_435","0.004685599"
"viewdata","topic_237","0.021455422"
"showmodaldialog","topic_415","0.007415491"
"data-transfer-objects","topic_150","0.0038779608"
"portaudio","topic_103","0.024601767"
"perl-data-structures","topic_510","0.0134606315"
"speaker","topic_188","0.00773907"
"linqdatasource","topic_346","0.009022866"
"google-oauth-java-client","topic_522","0.0053971964"
"client-side-scripting","topic_157","0.0048931013"
"persistent-connection","topic_978","0.0024769285"
"borderless","topic_932","0.0055600046"
"cassandra-cli","topic_598","0.010014274"
"android-gesture","topic_38","0.0032510262"
"zpl-ii","topic_135","0.003541849"
"sphinx4","topic_60","0.0024130116"
"sites","topic_557","0.005860987"
"google-data-api","topic_479","0.011681608"
"web-user-controls","topic_9","0.008781919"
"quartz-composer","topic_156","0.009594578"
"ninject-2","topic_184","0.00765995"
"hotlinking","topic_551","0.007771124"
"text-indent","topic_386","0.0051957928"
"double-checked-locking","topic_593","0.00734419"
"tweetsharp","topic_429","0.009332264"
"updateprogress","topic_870","0.009357309"
"saiku","topic_244","0.006808525"
"gulp-concat","topic_45","0.005784153"
"lower-bound","topic_264","0.0023950296"
"livechat","topic_875","0.0061103166"
"themeroller","topic_582","0.0046705753"
"spry","topic_135","0.0031767099"
"jquery-slider","topic_502","0.005359681"
"home-button","topic_881","0.0029443216"
"imagettftext","topic_231","0.01042406"
"websub","topic_800","0.007846568"
"emma","topic_857","0.029767884"
"cons","topic_221","0.0034421538"
"grunt-contrib-uglify","topic_519","0.008975046"
"sys.path","topic_665","0.0023081808"
"mura","topic_469","0.0063912733"
"java-client","topic_404","0.0019994013"
"fcntl","topic_112","0.007614851"
"touchstart","topic_661","0.017392918"
"du","topic_26","0.0031072933"
"git-tfs","topic_256","0.0048258286"
"mql","topic_709","0.009740952"
"deferred-execution","topic_755","0.00782107"
"gin","topic_772","0.009105517"
"stringi","topic_868","0.008432843"
"requestjs","topic_816","0.0038498582"
"flask-restless","topic_756","0.004722237"
"phpthumb","topic_149","0.005322916"
"axwindowsmediaplayer","topic_575","0.003764817"
"atk4","topic_51","0.011649244"
"azure-app-service-plans","topic_631","0.009149533"
"fdf","topic_839","0.015265058"
"angular2-router","topic_183","0.0052375533"
"sqlmembershipprovider","topic_688","0.007448405"
"transclusion","topic_34","0.0057430337"
"object-initializers","topic_704","0.0043867263"
"fitnesse-slim","topic_301","0.0055649155"
"pathgeometry","topic_610","0.005128242"
"imagedownload","topic_1","0.010489011"
"scaletransform","topic_54","0.009035887"
"android-internet","topic_129","0.014271626"
"batterymanager","topic_281","0.0030034028"
"javascript-intellisense","topic_576","0.017712723"
"google-cloud-console","topic_334","0.008606309"
"websphere-6.1","topic_938","0.014980451"
"apache-wink","topic_238","0.003393434"
"uideviceorientation","topic_417","0.0045520854"
"symbolicate","topic_615","0.0038449173"
"extjs-grid","topic_437","0.0048687872"
"jetpack","topic_668","0.008108857"
".when","topic_230","0.01683383"
"immediate-window","topic_480","0.0051306896"
"sunspot-solr","topic_655","0.008903861"
"openbsd","topic_453","0.0020191956"
"3nf","topic_183","0.007200387"
"timed","topic_765","0.0048454343"
"dlna","topic_129","0.008252301"
"illegal-characters","topic_726","0.0072024367"
"catextlayer","topic_394","0.000519367"
"zipper","topic_245","0.0038095394"
"conversion-operator","topic_751","0.0049752947"
"base-conversion","topic_401","0.0025773605"
"memory-fences","topic_97","0.008902782"
"ruby-1.8.7","topic_131","0.016217515"
"cloudfoundry-uaa","topic_832","0.0041911453"
"vitamio","topic_908","0.009030011"
"zingchart","topic_524","0.0077486085"
"h.265","topic_125","0.0034764458"
"maven-cargo","topic_624","0.0051244656"
"formidable","topic_398","0.012799574"
"raft","topic_393","0.0043810117"
"consensus","topic_445","0.010494921"
"subtype","topic_989","0.0065018563"
"mongo-c-driver","topic_775","0.002394151"
"meteor-publications","topic_981","0.0022827606"
"bullet","topic_619","0.0029264588"
"ember-components","topic_117","0.007850267"
"wcf-endpoint","topic_176","0.0009441423"
"advanced-search","topic_27","0.00525013"
"background-fetch","topic_310","0.0149733145"
"nstimeinterval","topic_208","0.016729236"
"pgi","topic_22","0.004822604"
"django-login","topic_94","0.0094681885"
"opentbs","topic_751","0.006502595"
"woocommerce-bookings","topic_539","0.006699487"
"asp.net-core-viewcomponent","topic_856","0.008770239"
"icon-fonts","topic_233","0.0063315504"
"epplus-4","topic_581","0.00025327175"
"epplus-4","topic_589","0.00709905"
"elfinder","topic_6","0.0053605395"
"detail","topic_388","0.004575254"
"uilongpressgesturerecogni","topic_40","0.0052309027"
"test-explorer","topic_764","0.0030886629"
"flying-saucer","topic_55","0.011920506"
"session-hijacking","topic_661","0.013307749"
"pins","topic_68","0.009482027"
"vacuum","topic_621","0.0057746954"
"ember-cli-mirage","topic_812","0.0047633597"
"access-point","topic_212","0.0035064204"
"couchbase-sync-gateway","topic_410","0.004323714"
"columnsorting","topic_178","0.010181415"
"screen-lock","topic_1","0.0068307184"
"catch-block","topic_402","0.0023346923"
"angular-moment","topic_547","0.026328502"
"xmlnodelist","topic_11","0.003108508"
"tensorflow-gpu","topic_390","0.005536281"
"constructor-overloading","topic_917","0.0074246065"
"serviceloader","topic_18","0.0118205985"
"html5-template","topic_167","0.0042053917"
"robobrowser","topic_555","0.0025862006"
"towers-of-hanoi","topic_679","0.009656569"
"jstack","topic_835","0.010391333"
"libtiff.net","topic_947","0.003841287"
"ng-bind-html","topic_842","0.0072403983"
"capture-group","topic_690","0.005620728"
"barcode-printing","topic_840","0.011230885"
"linq-to-dataset","topic_383","0.0039236057"
"aspectj-maven-plugin","topic_254","0.00501733"
"hypermedia","topic_937","0.0059577078"
"upcasting","topic_468","0.0024926825"
"orchardcms-1.9","topic_714","0.002480909"
"shutdown-hook","topic_648","0.011693963"
"dexguard","topic_751","0.0069654128"
"rooted-device","topic_136","0.005095315"
"ccnet-config","topic_156","0.008461639"
"database-versioning","topic_385","0.0053709797"
"360-panorama","topic_699","0.0062505333"
"google-api-js-client","topic_935","0.0030872773"
"tasklist","topic_915","0.004720821"
"spark-view-engine","topic_25","0.0065495903"
"james","topic_18","0.01736327"
"quicklisp","topic_974","0.0040540113"
"generator-expression","topic_62","0.0069421544"
"segments","topic_709","0.006707274"
"local-network","topic_505","0.0074537457"
"sql-limit","topic_193","0.0067070536"
"firebird2.1","topic_766","0.0038861483"
"shieldui","topic_280","0.014129591"
"ikvm","topic_360","0.02393688"
"winusb","topic_547","0.01779388"
"ecslidingviewcontroller","topic_323","0.00072022114"
"symfony-2.2","topic_129","0.012135737"
"accelerated-mobile-page","topic_666","0.005897772"
"apache-commons-beanutils","topic_781","0.004057134"
"azure-cosmosdb-mongoapi","topic_20","0.0014982278"
"moodle-api","topic_752","0.007160729"
"touchableopacity","topic_828","0.0035685021"
"maven-bundle-plugin","topic_278","0.0021135993"
"worldpay","topic_673","0.005929574"
"imei","topic_380","0.0049004746"
"kobold2d","topic_812","0.004698331"
