Tag,h2.2008,h1.2009,h2.2009,h1.2010,h2.2010,h1.2011,h2.2011,h1.2012,h2.2012,h1.2013,h2.2013,h1.2014,h2.2014,h1.2015,h2.2015,h1.2016,h2.2016,h1.2017,h2.2017,h1.2018,h2.2018,h1.2019,h2.2019,TopicNumber,Propensity
tryparse,2,6,8,8,6,10,9,7,15,16,19,22,19,23,11,15,13,8,12,8,9,13,3,topic_994,0.008081761
dynamics-ax-2009,1,9,6,12,12,49,50,78,63,65,35,40,20,22,23,21,23,19,6,9,9,4,0,topic_950,0.0041293628
elasticsearch-aggregation,0,0,0,0,0,0,0,0,0,0,0,3,13,3,14,20,42,33,31,42,93,127,42,topic_614,0.005750662
mips32,0,0,0,0,3,14,14,18,20,11,29,21,16,20,28,42,45,35,31,37,37,45,6,topic_692,0.029125607
chromium-embedded,0,0,0,1,0,0,8,3,11,31,65,68,79,110,68,77,71,64,56,51,62,74,22,topic_726,0.054968797
cil,20,34,34,41,51,61,33,41,59,47,38,28,27,38,44,45,55,36,37,44,32,39,11,topic_831,0.039915685
doctest,2,5,12,20,13,10,9,19,12,11,19,16,19,18,17,9,15,17,21,15,22,19,9,topic_158,0.012049089
cin,4,4,9,18,12,38,43,56,68,109,123,129,106,93,109,107,85,84,79,72,54,41,5,topic_435,0.035512425
hibernate-envers,0,6,4,3,11,23,16,21,37,38,30,32,42,48,28,44,40,60,52,42,40,47,19,topic_841,0.06975309
rhomobile,0,0,2,4,12,13,67,71,42,26,49,21,17,5,7,7,2,3,6,1,1,1,1,topic_865,0.01350111
facebook-apps,0,0,0,0,1,0,142,288,188,178,94,100,60,49,50,36,28,21,22,24,34,21,3,topic_156,0.09994756
android-multidex,0,0,0,0,0,0,0,0,0,1,0,0,24,44,82,92,68,64,99,73,64,50,16,topic_922,0.057055525
sony-smartwatch,0,0,0,0,0,0,0,12,14,32,60,55,36,21,15,10,7,6,4,3,1,5,0,topic_221,0.004219861
angular4-router,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,131,50,14,1,topic_402,0.012482225
azure-web-app-service,0,1,6,6,1,0,0,1,2,3,2,2,2,5,14,105,126,189,217,221,247,337,113,topic_352,0.14892624
provider,7,20,26,30,28,48,34,43,51,53,33,34,28,32,7,43,31,32,26,30,19,23,20,topic_142,0.010016767
root,5,18,28,36,60,156,128,181,179,185,199,235,181,181,157,160,133,144,101,98,113,105,50,topic_883,0.08073772
scrollmagic,0,0,0,0,0,0,0,0,0,0,0,6,15,33,36,43,32,26,39,25,46,44,18,topic_990,0.06422677
projection,4,17,24,39,39,48,41,65,74,95,70,87,100,85,86,93,84,86,95,81,72,83,24,topic_82,0.11902665
lwuit,1,3,6,12,24,65,225,214,145,97,73,21,13,3,2,1,0,1,1,0,0,0,0,topic_210,0.029984709
.htaccess,54,261,567,876,1328,2008,2432,3265,3838,4016,5314,5686,4916,4981,4626,4355,3727,3779,2922,2332,2266,2177,744,topic_304,0.7761339
multiplayer,2,9,15,20,21,44,39,78,76,83,53,85,62,84,73,90,61,87,55,46,68,41,14,topic_833,0.0767069
partial-views,1,18,53,75,126,146,170,214,200,233,157,164,110,132,142,85,101,101,71,75,72,64,27,topic_911,0.41083887
jpanel,10,28,34,89,78,180,248,384,553,771,687,767,470,537,406,390,252,285,204,195,147,182,33,topic_902,0.06296714
cjk,6,15,32,38,55,82,89,85,36,30,17,11,8,9,9,11,16,8,36,57,62,64,19,topic_387,0.05222795
dart-polymer,0,0,0,0,0,0,0,0,0,0,119,199,315,154,106,75,32,11,4,1,0,0,1,topic_941,0.0573014
android-notification-bar,0,0,0,0,5,8,16,28,40,25,33,24,26,17,24,19,15,12,8,10,14,16,1,topic_810,0.023511302
powerbi,0,0,0,0,0,0,0,1,0,0,1,3,3,69,133,296,318,427,511,765,1198,1430,552,topic_313,0.06945104
sharding,8,9,10,17,27,35,50,66,92,71,103,90,101,81,66,70,59,75,57,57,60,74,29,topic_776,0.00953455
android-build,0,0,0,3,2,7,14,20,35,62,64,34,44,46,54,70,35,38,54,41,54,43,14,topic_335,0.042649038
underscore.js,0,0,0,1,5,41,119,293,374,524,526,565,528,538,467,489,346,241,196,144,101,70,13,topic_937,0.3121536
populate,1,4,15,17,27,42,39,47,55,98,68,52,48,56,46,47,42,45,38,32,55,63,10,topic_3,0.063700296
lubridate,0,0,0,0,2,0,6,5,8,19,25,21,44,45,53,68,89,106,126,145,145,175,57,topic_368,0.051615838
ftpwebrequest,2,6,17,18,24,25,27,38,40,52,37,16,31,26,28,20,23,27,31,30,18,11,5,topic_325,0.025200406
url-encoding,2,13,18,27,34,53,44,50,62,48,65,68,71,78,65,58,59,72,40,46,35,26,0,topic_218,0.02285194
client-side,27,52,61,88,132,143,131,166,195,209,160,130,111,85,54,76,52,49,60,29,49,35,15,topic_764,0.058744695
struct,51,120,216,356,403,588,617,853,927,1143,1461,1638,1467,1701,1542,1520,1447,1512,1337,1235,1090,1031,317,topic_803,0.6047702
spring-mvc,18,87,171,431,799,1172,1250,1798,2030,2741,3312,3558,3832,4097,4264,4231,3696,3518,3292,2532,2394,1969,617,topic_57,0.8947768
settimeout,3,12,36,48,88,146,191,224,204,259,286,249,207,196,203,225,210,202,199,213,237,189,64,topic_609,0.3067814
rvalue,2,1,4,12,11,18,14,15,16,34,20,22,33,31,42,49,29,39,34,21,20,21,15,topic_620,0.027501494
actionscript,135,337,474,727,692,1062,1006,849,717,752,535,485,283,307,208,126,109,110,79,50,41,36,9,topic_935,0.19037285
android-nestedscrollview,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,58,62,63,72,93,69,27,topic_737,0.0061750133
gorm,2,25,37,79,95,149,195,291,270,295,316,352,314,389,263,235,164,140,127,103,89,87,29,topic_981,0.051125366
ajaxform,0,1,9,8,9,15,16,22,25,33,40,34,43,38,27,30,26,32,20,28,24,24,6,topic_534,0.016740147
executor,0,2,10,4,14,13,18,23,17,17,11,15,23,18,18,15,25,14,20,26,23,21,10,topic_360,0.023033634
block,0,0,0,6,79,166,156,245,326,338,341,325,236,211,178,173,130,93,88,100,91,77,18,topic_749,0.10473676
phonegap,0,0,0,0,0,1,1,4,4,3,2,2,1,2,2,1,0,202,465,375,341,325,95,topic_700,0.030791342
sass,2,11,19,58,53,134,247,360,527,793,861,1174,1086,978,799,999,1480,1471,1415,1412,1511,1621,547,topic_679,0.5506133
flot,2,12,30,33,48,73,87,129,146,204,224,221,212,172,129,123,76,50,25,29,20,14,3,topic_160,0.2087901
rule-engine,10,17,19,21,26,36,26,45,41,31,53,23,25,38,35,53,45,38,43,34,35,42,19,topic_845,0.013829984
hololens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,73,110,106,79,107,157,29,topic_931,0.023714155
ntfs,20,28,27,33,51,33,49,38,56,32,43,41,29,56,34,32,28,28,37,34,37,51,9,topic_644,0.043244667
devstack,0,0,0,0,0,0,0,0,0,6,15,21,33,36,32,17,23,21,19,19,25,10,7,topic_820,0.026528474
corda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,213,489,470,361,115,topic_301,0.007283106
clr,80,163,158,186,175,233,196,296,216,195,214,152,176,150,167,118,118,100,107,107,93,118,28,topic_639,0.14113192
ionic-framework,0,0,0,0,0,0,0,0,0,0,0,228,997,1796,2371,4563,4554,4123,4232,3854,3829,3869,1246,topic_700,0.60292524
libreoffice,2,0,0,0,0,8,21,42,35,91,71,74,68,89,97,100,79,72,90,67,91,83,23,topic_873,0.08318867
cocos2d-android,0,0,0,0,2,8,49,64,26,66,56,23,11,19,17,12,16,3,7,5,4,3,2,topic_574,0.008035955
spark-graphx,0,0,0,0,0,0,0,0,0,0,0,0,4,43,52,59,56,48,43,49,22,34,5,topic_479,0.06766793
http-post,7,19,29,59,122,300,331,395,411,535,547,507,458,453,439,448,450,439,382,301,298,275,100,topic_568,0.22995748
video-streaming,4,26,75,129,198,291,282,374,335,418,417,470,333,393,386,396,336,336,322,350,376,424,123,topic_410,0.11779504
angular,0,0,0,0,0,0,0,0,0,1,0,1,4,141,992,8979,17861,25282,28911,29004,29621,29944,9835,topic_374,0.9079897
dynamic-controls,2,15,19,15,10,21,16,25,24,31,30,19,6,12,11,16,3,7,4,5,5,4,1,topic_148,0.009802299
transparency,29,78,100,116,163,216,227,230,211,227,206,198,181,179,127,113,115,97,93,85,80,82,31,topic_688,0.19191065
sankey-diagram,0,0,1,0,1,0,0,1,3,3,16,17,17,21,22,36,21,30,45,39,53,48,17,topic_867,0.03547468
owin,0,0,0,0,0,0,0,0,0,15,197,382,485,502,541,472,365,353,284,256,188,192,55,topic_328,0.13388781
pika,0,0,0,0,0,3,6,15,27,19,18,34,26,24,21,44,32,26,36,30,35,51,26,topic_270,0.01303113
cmd,62,101,129,148,197,290,345,567,679,1030,1190,1369,1368,1405,1445,1469,1407,1581,1365,1180,1165,1140,404,topic_528,0.2507197
windows-vista,238,338,324,186,125,112,56,60,32,20,36,14,10,7,6,7,2,2,1,7,6,2,2,topic_60,0.016589534
grid-search,0,0,0,0,0,0,0,0,0,0,1,0,0,2,31,44,49,67,79,96,86,81,29,topic_132,0.025516016
hash,120,240,387,479,630,862,966,1081,1078,1203,1377,1454,1290,1416,1267,1263,1067,1026,883,774,656,643,211,topic_915,0.46857458
qimage,0,2,6,4,9,19,16,30,23,30,26,40,22,35,34,29,27,28,19,25,16,17,9,topic_47,0.008148476
jsdoc,0,0,1,5,10,24,16,23,29,42,56,59,56,61,87,78,56,74,81,63,86,94,34,topic_984,0.03953176
clojure,24,62,256,306,541,557,693,989,887,1167,1089,1169,1097,1018,999,1153,879,764,568,533,451,383,132,topic_245,0.61331874
ping,10,15,20,25,26,78,83,118,112,156,155,177,138,163,149,143,126,122,111,100,109,101,33,topic_196,0.09790784
expression-blend,18,43,91,106,139,142,126,127,106,104,80,42,30,38,19,11,0,7,6,2,6,1,1,topic_395,0.070800506
slick.js,0,0,0,0,0,0,0,0,0,0,0,4,13,76,122,128,123,155,118,155,140,127,58,topic_160,0.123223715
entity-attribute-value,13,25,23,25,45,26,48,35,51,51,42,33,22,30,38,36,44,41,33,18,39,30,9,topic_27,0.034017913
code-contracts,2,7,23,39,67,68,64,43,47,49,48,28,40,37,23,18,18,5,4,3,5,7,1,topic_831,0.028748263
save,8,51,86,155,212,336,389,492,525,606,619,650,492,549,453,481,384,414,366,340,306,290,92,topic_574,0.17171673
move-constructor,0,0,0,5,6,5,8,13,14,12,16,15,13,16,19,23,12,15,31,17,21,14,2,topic_355,0.0047055567
code-generation,87,138,148,224,206,250,192,183,162,172,162,132,109,137,113,95,96,105,89,96,91,90,31,topic_85,0.068784356
cmdlets,3,3,8,9,8,8,15,25,9,33,27,25,22,25,16,18,26,15,27,24,22,13,6,topic_269,0.0064291363
actioncable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,78,111,114,84,71,70,72,21,topic_124,0.02435927
jsdom,0,0,0,0,0,9,16,30,26,17,18,17,28,37,24,30,42,46,40,37,49,58,20,topic_959,0.035507247
android-2.2-froyo,0,0,0,26,126,143,146,140,92,64,58,31,28,9,1,0,4,1,0,2,0,0,0,topic_622,0.019581242
goto,7,19,26,29,30,35,40,35,56,48,76,63,62,60,59,35,44,27,33,27,31,29,5,topic_575,0.029928187
layout-inflater,0,0,0,3,3,9,37,46,81,108,106,90,79,82,70,81,69,40,66,52,43,38,18,topic_442,0.0118472595
laravel-socialite,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,49,45,35,54,53,56,62,22,topic_257,0.0025774278
tor,1,2,5,3,5,6,13,28,40,39,48,54,32,68,70,52,70,51,52,58,57,69,24,topic_730,0.10023809
powerpc,3,5,20,14,16,34,20,28,23,41,40,28,36,43,34,26,35,24,52,23,28,16,7,topic_807,0.025111536
casting,98,210,324,442,507,668,717,782,937,1045,966,993,964,1050,950,922,794,763,747,714,654,604,207,topic_865,0.61397535
wso2carbon,1,1,1,0,0,3,1,19,117,81,101,118,90,80,93,144,149,150,95,68,73,92,31,topic_594,0.09828026
viewcontroller,0,0,6,28,32,64,86,105,115,143,137,127,191,225,217,223,139,163,125,116,108,91,30,topic_518,0.29336187
taskscheduler,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,63,54,81,66,98,101,101,34,topic_639,0.024113193
text-to-speech,11,17,24,38,63,110,92,167,145,168,142,152,148,148,137,148,146,190,154,165,160,203,61,topic_698,0.099346966
.net-2.0,289,343,250,200,221,208,199,172,159,150,97,46,30,40,32,20,21,17,18,17,17,7,5,topic_903,0.16211583
simplecursoradapter,0,0,0,2,4,66,97,99,102,118,102,71,65,56,50,41,30,26,17,14,11,7,2,topic_949,0.23148148
backbone.js-collections,0,0,0,0,0,2,3,12,48,78,84,57,68,42,38,29,25,18,7,3,2,1,2,topic_469,0.028646268
in-app-billing,0,0,0,1,0,31,102,131,166,215,178,190,175,144,130,128,109,81,104,82,90,91,50,topic_719,0.10319029
es6-modules,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,8,96,99,168,191,169,211,75,topic_694,0.023221996
visualsvn-server,20,18,32,35,29,31,26,40,34,52,61,43,42,41,37,27,22,22,18,13,21,14,1,topic_42,0.005561836
glyphicons,0,0,0,0,0,0,0,0,4,13,64,83,80,90,108,89,68,52,52,30,22,13,5,topic_414,0.05892734
hikaricp,0,0,0,0,0,0,0,0,0,0,1,20,41,47,56,66,68,65,58,82,111,128,45,topic_92,0.0025600952
comparator,0,4,24,33,33,44,53,76,86,104,104,160,123,162,129,138,117,132,125,130,133,117,36,topic_781,0.07642035
viewflipper,0,0,0,13,47,60,115,73,67,54,46,34,22,23,27,22,17,5,4,6,3,7,2,topic_504,0.030230258
logistic-regression,0,0,0,0,0,0,0,0,2,1,35,107,94,122,150,208,178,179,228,235,233,307,104,topic_838,0.038616337
joomla3.0,0,0,0,0,0,0,0,0,39,119,289,299,241,218,189,171,153,132,78,79,63,54,28,topic_979,0.09123359
hstore,0,0,0,0,0,0,1,9,33,46,58,60,40,35,35,31,19,17,7,9,8,9,9,topic_776,0.0030829844
codesign,0,0,12,20,31,12,21,12,19,18,24,21,42,33,18,19,40,24,19,16,24,31,5,topic_561,0.027953167
markers,1,0,5,8,4,19,20,33,23,30,47,50,37,62,44,51,40,48,30,35,31,34,9,topic_22,0.026773324
com,225,454,583,625,650,717,671,762,639,682,689,632,496,472,418,397,417,353,299,269,285,298,84,topic_438,0.5274099
