Tag,H2.2008,H1.2009,H2.2009,H1.2010,H2.2010,H1.2011,H2.2011,H1.2012,H2.2012,H1.2013,H2.2013,H1.2014,H2.2014,H1.2015,H2.2015,H1.2016,H2.2016,H1.2017,H2.2017,H1.2018,H2.2018,H1.2019,H2.2019,TopicNumber,Propensity
jsf-2,0,0,3,91,412,868,1342,1697,1860,2148,1757,1438,1020,901,704,488,333,352,245,128,80,74,21,topic_422,0.7894815
bufferedimage,2,9,11,34,45,72,85,124,130,179,188,182,133,131,120,130,86,80,57,46,47,51,5,topic_110,0.44026297
spring-jdbc,1,3,8,9,13,28,33,47,57,89,80,105,110,117,114,122,115,130,105,142,161,130,56,topic_684,0.10644056
primefaces,0,0,0,9,82,329,516,989,1433,2065,1830,1838,1594,1387,1170,987,832,876,633,525,503,448,154,topic_175,0.86916023
pythonpath,0,0,11,10,21,22,24,36,31,42,29,33,29,26,31,39,26,34,27,27,31,33,11,topic_602,0.060150377
dynamics-ax-2009,1,9,6,12,12,49,50,78,63,65,35,40,20,22,23,21,23,19,6,9,9,4,0,topic_950,0.0041767857
elasticsearch-aggregation,0,0,0,0,0,0,0,0,0,0,0,3,13,3,14,20,42,33,31,42,93,127,42,topic_614,0.007388408
mips32,0,0,0,0,3,14,14,18,20,11,29,21,16,20,28,42,45,35,31,37,37,45,6,topic_692,0.066600114
chromium-embedded,0,0,0,1,0,0,8,3,11,31,65,68,79,110,68,77,71,64,56,51,62,74,22,topic_1109,0.07518674
cil,20,34,34,41,51,61,33,41,59,47,38,28,27,38,44,45,55,36,37,44,32,39,11,topic_1059,0.06427849
cin,4,4,9,18,12,38,43,56,68,109,123,129,106,93,109,107,85,84,79,72,54,41,5,topic_1319,0.06366645
hibernate-envers,0,6,4,3,11,23,16,21,37,38,30,32,42,48,28,44,40,60,52,42,40,47,19,topic_841,0.025749117
facebook-apps,0,0,0,0,1,0,142,288,188,178,94,100,60,49,50,36,28,21,22,24,34,21,3,topic_156,0.2648402
android-multidex,0,0,0,0,0,0,0,0,0,1,0,0,24,44,82,92,68,64,99,73,64,50,16,topic_1404,0.019875776
azure-web-app-service,0,1,6,6,1,0,0,1,2,3,2,2,2,5,14,105,126,189,217,221,247,337,113,topic_1259,0.018555142
root,5,18,28,36,60,156,128,181,179,185,199,235,181,181,157,160,133,144,101,98,113,105,50,topic_1488,0.31255525
scrollmagic,0,0,0,0,0,0,0,0,0,0,0,6,15,33,36,43,32,26,39,25,46,44,18,topic_1299,0.049047817
projection,4,17,24,39,39,48,41,65,74,95,70,87,100,85,86,93,84,86,95,81,72,83,24,topic_1236,0.074039035
lwuit,1,3,6,12,24,65,225,214,145,97,73,21,13,3,2,1,0,1,1,0,0,0,0,topic_210,0.032271914
.htaccess,54,261,567,876,1328,2008,2432,3265,3838,4016,5314,5686,4916,4981,4626,4355,3727,3779,2922,2332,2266,2177,744,topic_242,0.6555639
multiplayer,2,9,15,20,21,44,39,78,76,83,53,85,62,84,73,90,61,87,55,46,68,41,14,topic_833,0.30575356
partial-views,1,18,53,75,126,146,170,214,200,233,157,164,110,132,142,85,101,101,71,75,72,64,27,topic_911,0.5164185
jpanel,10,28,34,89,78,180,248,384,553,771,687,767,470,537,406,390,252,285,204,195,147,182,33,topic_1298,0.20747198
dart-polymer,0,0,0,0,0,0,0,0,0,0,119,199,315,154,106,75,32,11,4,1,0,0,1,topic_1245,0.032988884
android-notification-bar,0,0,0,0,5,8,16,28,40,25,33,24,26,17,24,19,15,12,8,10,14,16,1,topic_810,0.034070168
powerbi,0,0,0,0,0,0,0,1,0,0,1,3,3,69,133,296,318,427,511,765,1198,1430,552,topic_313,0.092296734
sharding,8,9,10,17,27,35,50,66,92,71,103,90,101,81,66,70,59,75,57,57,60,74,29,topic_776,0.0099894125
android-build,0,0,0,3,2,7,14,20,35,62,64,34,44,46,54,70,35,38,54,41,54,43,14,topic_1081,0.05324666
underscore.js,0,0,0,1,5,41,119,293,374,524,526,565,528,538,467,489,346,241,196,144,101,70,13,topic_1475,0.34045672
lubridate,0,0,0,0,2,0,6,5,8,19,25,21,44,45,53,68,89,106,126,145,145,175,57,topic_368,0.14926945
ftpwebrequest,2,6,17,18,24,25,27,38,40,52,37,16,31,26,28,20,23,27,31,30,18,11,5,topic_325,0.030538186
url-encoding,2,13,18,27,34,53,44,50,62,48,65,68,71,78,65,58,59,72,40,46,35,26,0,topic_218,0.2403644
client-side,27,52,61,88,132,143,131,166,195,209,160,130,111,85,54,76,52,49,60,29,49,35,15,topic_764,0.061782412
struct,51,120,216,356,403,588,617,853,927,1143,1461,1638,1467,1701,1542,1520,1447,1512,1337,1235,1090,1031,317,topic_803,0.8245159
spring-mvc,18,87,171,431,799,1172,1250,1798,2030,2741,3312,3558,3832,4097,4264,4231,3696,3518,3292,2532,2394,1969,617,topic_1328,0.24872646
settimeout,3,12,36,48,88,146,191,224,204,259,286,249,207,196,203,225,210,202,199,213,237,189,64,topic_524,0.35078534
rvalue,2,1,4,12,11,18,14,15,16,34,20,22,33,31,42,49,29,39,34,21,20,21,15,topic_620,0.057974387
actionscript,135,337,474,727,692,1062,1006,849,717,752,535,485,283,307,208,126,109,110,79,50,41,36,9,topic_71,0.53148484
android-nestedscrollview,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,58,62,63,72,93,69,27,topic_737,0.0071292706
gorm,2,25,37,79,95,149,195,291,270,295,316,352,314,389,263,235,164,140,127,103,89,87,29,topic_981,0.096932046
block,0,0,0,6,79,166,156,245,326,338,341,325,236,211,178,173,130,93,88,100,91,77,18,topic_749,0.2204642
phonegap,0,0,0,0,0,1,1,4,4,3,2,2,1,2,2,1,0,202,465,375,341,325,95,topic_700,0.15507111
sass,2,11,19,58,53,134,247,360,527,793,861,1174,1086,978,799,999,1480,1471,1415,1412,1511,1621,547,topic_679,0.85703826
flot,2,12,30,33,48,73,87,129,146,204,224,221,212,172,129,123,76,50,25,29,20,14,3,topic_1299,0.28181943
rule-engine,10,17,19,21,26,36,26,45,41,31,53,23,25,38,35,53,45,38,43,34,35,42,19,topic_845,0.065336704
hololens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,73,110,106,79,107,157,29,topic_931,0.023714155
ntfs,20,28,27,33,51,33,49,38,56,32,43,41,29,56,34,32,28,28,37,34,37,51,9,topic_1003,0.044385575
corda,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,213,489,470,361,115,topic_301,0.097524956
clr,80,163,158,186,175,233,196,296,216,195,214,152,176,150,167,118,118,100,107,107,93,118,28,topic_639,0.341367
ionic-framework,0,0,0,0,0,0,0,0,0,0,0,228,997,1796,2371,4563,4554,4123,4232,3854,3829,3869,1246,topic_418,0.74117106
libreoffice,2,0,0,0,0,8,21,42,35,91,71,74,68,89,97,100,79,72,90,67,91,83,23,topic_873,0.1264647
spark-graphx,0,0,0,0,0,0,0,0,0,0,0,0,4,43,52,59,56,48,43,49,22,34,5,topic_479,0.07210693
http-post,7,19,29,59,122,300,331,395,411,535,547,507,458,453,439,448,450,439,382,301,298,275,100,topic_568,0.8199483
video-streaming,4,26,75,129,198,291,282,374,335,418,417,470,333,393,386,396,336,336,322,350,376,424,123,topic_410,0.23127235
angular,0,0,0,0,0,0,0,0,0,1,0,1,4,141,992,8979,17861,25282,28911,29004,29621,29944,9835,topic_374,0.9471832
transparency,29,78,100,116,163,216,227,230,211,227,206,198,181,179,127,113,115,97,93,85,80,82,31,topic_688,0.44755736
sankey-diagram,0,0,1,0,1,0,0,1,3,3,16,17,17,21,22,36,21,30,45,39,53,48,17,topic_867,0.05173569
owin,0,0,0,0,0,0,0,0,0,15,197,382,485,502,541,472,365,353,284,256,188,192,55,topic_1017,0.17631558
pika,0,0,0,0,0,3,6,15,27,19,18,34,26,24,21,44,32,26,36,30,35,51,26,topic_270,0.04001368
cmd,62,101,129,148,197,290,345,567,679,1030,1190,1369,1368,1405,1445,1469,1407,1581,1365,1180,1165,1140,404,topic_528,0.26388872
windows-vista,238,338,324,186,125,112,56,60,32,20,36,14,10,7,6,7,2,2,1,7,6,2,2,topic_60,0.018186608
grid-search,0,0,0,0,0,0,0,0,0,0,1,0,0,2,31,44,49,67,79,96,86,81,29,topic_1017,0.023058552
hash,120,240,387,479,630,862,966,1081,1078,1203,1377,1454,1290,1416,1267,1263,1067,1026,883,774,656,643,211,topic_915,0.5634613
qimage,0,2,6,4,9,19,16,30,23,30,26,40,22,35,34,29,27,28,19,25,16,17,9,topic_554,0.16745369
jsdoc,0,0,1,5,10,24,16,23,29,42,56,59,56,61,87,78,56,74,81,63,86,94,34,topic_1398,0.2105478
clojure,24,62,256,306,541,557,693,989,887,1167,1089,1169,1097,1018,999,1153,879,764,568,533,451,383,132,topic_245,0.78847796
ping,10,15,20,25,26,78,83,118,112,156,155,177,138,163,149,143,126,122,111,100,109,101,33,topic_429,0.2132166
expression-blend,18,43,91,106,139,142,126,127,106,104,80,42,30,38,19,11,0,7,6,2,6,1,1,topic_395,0.08986159
slick.js,0,0,0,0,0,0,0,0,0,0,0,4,13,76,122,128,123,155,118,155,140,127,58,topic_160,0.21253501
entity-attribute-value,13,25,23,25,45,26,48,35,51,51,42,33,22,30,38,36,44,41,33,18,39,30,9,topic_27,0.112676054
code-contracts,2,7,23,39,67,68,64,43,47,49,48,28,40,37,23,18,18,5,4,3,5,7,1,topic_1171,0.049197942
save,8,51,86,155,212,336,389,492,525,606,619,650,492,549,453,481,384,414,366,340,306,290,92,topic_574,0.6791448
code-generation,87,138,148,224,206,250,192,183,162,172,162,132,109,137,113,95,96,105,89,96,91,90,31,topic_85,0.107507885
actioncable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,78,111,114,84,71,70,72,21,topic_124,0.024523478
jsdom,0,0,0,0,0,9,16,30,26,17,18,17,28,37,24,30,42,46,40,37,49,58,20,topic_959,0.06532542
android-2.2-froyo,0,0,0,26,126,143,146,140,92,64,58,31,28,9,1,0,4,1,0,2,0,0,0,topic_1293,0.022914903
goto,7,19,26,29,30,35,40,35,56,48,76,63,62,60,59,35,44,27,33,27,31,29,5,topic_1306,0.037629068
layout-inflater,0,0,0,3,3,9,37,46,81,108,106,90,79,82,70,81,69,40,66,52,43,38,18,topic_442,0.054492187
laravel-socialite,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,49,45,35,54,53,56,62,22,topic_1393,0.091606304
tor,1,2,5,3,5,6,13,28,40,39,48,54,32,68,70,52,70,51,52,58,57,69,24,topic_730,0.47144458
casting,98,210,324,442,507,668,717,782,937,1045,966,993,964,1050,950,922,794,763,747,714,654,604,207,topic_865,0.70478994
wso2carbon,1,1,1,0,0,3,1,19,117,81,101,118,90,80,93,144,149,150,95,68,73,92,31,topic_594,0.13742343
viewcontroller,0,0,6,28,32,64,86,105,115,143,137,127,191,225,217,223,139,163,125,116,108,91,30,topic_1190,0.27445742
text-to-speech,11,17,24,38,63,110,92,167,145,168,142,152,148,148,137,148,146,190,154,165,160,203,61,topic_1064,0.040042575
.net-2.0,289,343,250,200,221,208,199,172,159,150,97,46,30,40,32,20,21,17,18,17,17,7,5,topic_903,0.35155603
simplecursoradapter,0,0,0,2,4,66,97,99,102,118,102,71,65,56,50,41,30,26,17,14,11,7,2,topic_1081,0.07121467
backbone.js-collections,0,0,0,0,0,2,3,12,48,78,84,57,68,42,38,29,25,18,7,3,2,1,2,topic_158,0.055393893
in-app-billing,0,0,0,1,0,31,102,131,166,215,178,190,175,144,130,128,109,81,104,82,90,91,50,topic_719,0.12831315
es6-modules,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,8,96,99,168,191,169,211,75,topic_1228,0.08448376
visualsvn-server,20,18,32,35,29,31,26,40,34,52,61,43,42,41,37,27,22,22,18,13,21,14,1,topic_42,0.005476914
glyphicons,0,0,0,0,0,0,0,0,4,13,64,83,80,90,108,89,68,52,52,30,22,13,5,topic_1199,0.07649402
hikaricp,0,0,0,0,0,0,0,0,0,0,1,20,41,47,56,66,68,65,58,82,111,128,45,topic_92,0.30766207
comparator,0,4,24,33,33,44,53,76,86,104,104,160,123,162,129,138,117,132,125,130,133,117,36,topic_781,0.090997525
viewflipper,0,0,0,13,47,60,115,73,67,54,46,34,22,23,27,22,17,5,4,6,3,7,2,topic_1036,0.113008276
logistic-regression,0,0,0,0,0,0,0,0,2,1,35,107,94,122,150,208,178,179,228,235,233,307,104,topic_838,0.036994886
joomla3.0,0,0,0,0,0,0,0,0,39,119,289,299,241,218,189,171,153,132,78,79,63,54,28,topic_979,0.24562407
com,225,454,583,625,650,717,671,762,639,682,689,632,496,472,418,397,417,353,299,269,285,298,84,topic_1319,0.49027133
azure-data-factory,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19,71,80,192,175,268,251,329,128,topic_788,0.14044839
cashapelayer,0,0,1,3,3,12,9,16,21,43,49,30,42,69,64,83,63,58,50,60,58,42,17,topic_373,0.026443841
coq,0,4,1,1,6,5,19,24,56,63,46,82,85,118,118,107,114,151,211,196,191,219,28,topic_565,0.24484365
skype-for-business,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,53,97,95,76,66,61,61,18,topic_1047,0.053438704
spring-integration-dsl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,64,76,123,102,34,topic_788,0.03761349
liquibase,0,1,11,10,14,20,23,44,57,74,73,148,145,171,178,165,134,167,156,193,205,214,87,topic_588,0.029698852
thread-safety,25,66,175,193,312,485,499,570,578,590,475,457,382,441,358,344,292,304,278,292,290,295,86,topic_402,0.38229513
automation,122,203,234,254,279,398,377,486,521,605,582,637,651,780,914,940,806,1044,1027,1034,1123,1162,454,topic_1200,0.26726106
haxe,6,8,21,13,21,20,20,43,81,99,77,116,146,109,161,101,98,74,88,49,33,34,15,topic_997,0.05425944
back-button,12,12,19,28,48,64,96,116,101,110,96,100,83,73,85,76,75,67,53,47,49,33,7,topic_1394,0.015326361
pipe,30,75,119,144,180,251,300,336,339,462,449,470,359,452,377,428,417,456,350,416,437,407,103,topic_668,0.59338176
tridion,0,0,0,0,4,6,7,367,540,199,5,4,3,7,3,1,3,2,1,0,3,3,0,topic_60,0.01320476
haxm,0,0,0,0,0,0,0,0,0,2,6,18,24,63,48,51,34,20,26,19,19,13,7,topic_1056,0.004465268
json.net,4,21,26,31,65,143,172,319,398,488,587,722,654,638,705,776,821,749,655,733,730,679,223,topic_143,0.36893967
fluid-layout,0,0,1,6,12,24,53,78,106,131,98,104,53,44,25,20,23,12,10,11,8,4,4,topic_1132,0.025004562
airflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,91,215,249,400,662,709,339,topic_354,0.39586693
cpu,31,59,64,75,74,138,133,172,229,189,232,256,203,225,210,201,185,224,175,181,179,186,63,topic_655,0.19548354
lotusscript,3,7,6,18,19,17,18,55,58,71,89,90,83,86,53,53,50,53,65,40,31,55,32,topic_752,0.11024534
tpl-dataflow,0,0,0,0,0,1,1,13,31,28,24,50,41,23,36,27,32,33,43,36,24,20,9,topic_1269,0.14886835
hook-woocommerce,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,15,133,213,202,254,249,303,111,topic_1389,0.16978317
robotium,0,0,0,5,7,20,73,103,123,131,118,124,91,76,58,31,21,6,2,2,8,5,0,topic_677,0.12982456
sanitization,9,24,37,42,49,50,47,46,33,34,49,61,33,49,51,33,30,35,29,26,28,36,12,topic_506,0.114936225
skscene,0,0,0,0,0,0,0,0,0,0,6,72,83,75,85,66,56,61,45,29,20,21,6,topic_855,0.12185535
winapi,534,947,1241,1511,1655,1930,1839,2243,2251,2257,2240,2126,1549,1674,1674,1440,1159,1179,1203,1104,951,1171,387,topic_356,0.20039307
django-filter,0,0,1,3,0,0,1,2,0,11,7,29,30,37,42,47,43,55,41,59,73,99,44,topic_122,0.0307196
quantmod,0,0,0,0,4,11,27,31,32,53,59,51,48,55,88,78,71,79,59,69,56,43,13,topic_551,0.042229652
javascript-events,27,135,302,458,647,952,1039,1308,1384,1064,889,701,602,617,643,578,512,312,295,328,319,0,9,topic_826,0.6914439
cql,3,2,0,4,4,5,11,42,49,90,130,138,130,180,176,147,129,140,99,114,71,77,18,topic_276,0.11566106
grand-central-dispatch,0,1,9,10,21,102,145,209,276,273,275,239,217,233,209,208,202,178,153,154,112,94,37,topic_712,0.2693451
footer,6,17,29,44,53,90,117,185,199,264,259,235,216,171,166,123,165,150,114,111,93,88,21,topic_357,0.14811234
apache-commons-net,0,0,2,3,12,17,24,25,22,31,18,21,18,22,30,24,17,11,10,21,17,12,12,topic_1274,0.43333334
google-analytics-api,1,1,5,10,19,35,69,100,138,164,199,270,209,262,254,302,256,261,182,181,211,175,80,topic_62,0.25754574
avaudiorecorder,0,2,17,22,27,56,50,57,45,43,51,49,35,39,41,20,39,18,13,9,23,24,6,topic_373,0.022853116
scripting,255,455,617,724,671,756,641,522,504,672,633,804,641,786,684,743,643,702,618,660,701,648,203,topic_298,0.54229176
nsmanagedobjectcontext,1,0,0,21,59,65,102,126,124,130,132,103,98,82,85,53,47,31,21,19,13,14,4,topic_712,0.10646846
timer,60,108,200,282,395,665,737,823,900,1102,1207,1371,1069,1187,1063,1039,841,985,782,620,542,534,176,topic_1017,0.686939
xpath-2.0,2,1,2,3,14,17,26,27,54,48,30,34,31,33,31,28,29,21,26,26,16,22,10,topic_337,0.034446627
crc,10,10,15,16,29,26,35,48,32,36,49,50,49,37,40,54,51,49,35,48,53,44,15,topic_198,0.19942057
soapui,3,6,12,30,46,63,67,107,159,167,170,227,242,285,306,349,324,389,346,283,233,268,62,topic_1402,0.09707075
chmod,3,14,12,18,33,53,58,68,53,92,85,85,75,65,64,69,42,42,42,41,55,31,12,topic_1423,0.11166028
flux,0,0,1,0,0,0,0,1,0,2,9,11,25,186,330,227,148,96,55,42,68,55,13,topic_1065,1.0
crosstab,2,15,10,14,19,18,29,54,55,63,63,78,69,60,84,86,91,78,77,65,85,77,32,topic_777,0.032729227
discord.py,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,120,346,604,498,119,topic_1460,0.15690205
move-semantics,0,0,0,4,21,30,33,51,84,115,124,94,103,109,91,122,103,91,73,95,88,66,18,topic_620,0.1757858
crm,9,16,22,26,40,74,106,129,129,225,169,218,196,199,155,207,223,158,107,89,96,122,39,topic_1053,0.115869336
nsnumberformatter,0,1,4,12,19,23,27,37,50,42,40,47,30,29,32,37,22,19,12,19,10,10,2,topic_208,0.08906813
free-jqgrid,0,0,0,0,0,0,0,1,1,0,0,0,0,82,79,74,58,74,47,46,27,21,5,topic_1039,0.11775571
