topic_0
okhttp: 0.13566826283931732; 
 bank: 0.020155522972345352; 
 iequalitycomparer: 0.0002836693311110139; 
 equality: 5.020369826524984e-07; 
 effective-java: 2.2677541622329045e-08; 
 cakephp-2.2: 2.5722885627077474e-11; 
 cakedc: 1.8893542980125133e-11; 
 hash-function: 2.795068050707311e-13; 
 moovweb: 1.622785700304899e-13; 
 dynamic-reports: 1.1084953484633009e-13; 
 hash-collision: 7.795812742095523e-14; 
 cakephp-bake: 5.166687525948524e-14; 
 topic_8
avro: 0.2116127461194992; 
 elements: 0.13069330155849457; 
 rspec2: 0.11383917927742004; 
 cloud9-ide: 0.1066441535949707; 
 erd: 0.07806115597486496; 
 debug-symbols: 0.07017619162797928; 
 bin: 0.05391344800591469; 
 digital-certificate: 0.049254659563302994; 
 confluent-schema-registry: 0.029765740036964417; 
 dynamic-forms: 0.023359207436442375; 
 footable: 0.02296495996415615; 
 ctrl: 0.022866398096084595; 
 jquery-click-event: 0.02197933942079544; 
 ifs: 0.017346922308206558; 
 insertafter: 0.013601564802229404; 
 spark-avro: 0.012386822141706944; 
 countries: 0.011236075311899185; 
 certificate-revocation: 0.010249962098896503; 
 confluent: 4.713638554676436e-05; 
 cloud9: 9.238286224899639e-07; 
 topic_9
master-pages: 0.4172345995903015; 
 session-state: 0.2587815821170807; 
 ascx: 0.08125410974025726; 
 scriptmanager: 0.07779968529939651; 
 page-lifecycle: 0.06593448668718338; 
 deobfuscation: 0.046709850430488586; 
 hiddenfield: 0.019525017589330673; 
 web-user-controls: 0.016370976343750954; 
 content-pages: 0.016370976343750954; 
 contentplaceholder: 1.8610377082950436e-05; 
 cookieless: 7.994450612613946e-08; 
 obfuscation: 8.567369924605828e-09; 
 loginview: 4.476149673138252e-09; 
 clientid: 2.8935156493048453e-09; 
 dynamic-controls: 1.8462754658443714e-09; 
 findcontrol: 1.4109838297748922e-11; 
 session-variables: 1.297528816161797e-12; 
 master: 8.145710871771371e-15; 
 web-farm: 2.4584385905062484e-15; 
 selectedindexchanged: 2.450098068832872e-15; 
 topic_10
full-text-search: 0.6816891431808472; 
 cakephp-1.3: 0.20939525961875916; 
 cakephp-1.2: 0.031419336795806885; 
 fputcsv: 0.030415521934628487; 
 gridfs-stream: 0.013149711303412914; 
 mysqlnd: 0.012045751325786114; 
 mysql-insert-id: 0.011744608171284199; 
 codeigniter-restserver: 0.010138507932424545; 
 text-search: 1.7522622783872066e-06; 
 zend-search-lucene: 2.1177059750243643e-07; 
 relevance: 2.0035726322475966e-07; 
 search-engine: 9.232634101685733e-10; 
 match-against: 2.003606863754115e-10; 
 stop-words: 1.4347690787189227e-12; 
 full-text-indexing: 3.64640365428312e-13; 
 mysql-real-escape-string: 1.2161428006134123e-13; 
 morelikethis: 1.1464047484747997e-13; 
 fuzzy-search: 5.078606263829444e-14; 
 xapian: 3.380561686161e-14; 
 last-insert-id: 3.151380998061941e-14; 
 topic_11
vsto: 0.4863506257534027; 
 outlook-addin: 0.2932259440422058; 
 neo4jclient: 0.05193393677473068; 
 xml-signature: 0.032172124832868576; 
 parfor: 0.031252920627593994; 
 adaptive-cards: 0.02491041272878647; 
 office-automation: 0.024175051599740982; 
 getfiles: 0.019762877374887466; 
 directoryinfo: 0.01801639050245285; 
 word-automation: 0.013236423023045063; 
 ribbonx: 0.004914499819278717; 
 excel-addins: 3.996385930804536e-05; 
 mailitem: 6.480654064944247e-06; 
 outlook-2016: 5.358695602808439e-07; 
 outlook-2007: 5.036921493228874e-07; 
 outlook-2010: 4.5425568373502756e-07; 
 mapi: 3.825266219337209e-07; 
 outlook-2013: 2.9839614512638946e-07; 
 xades4j: 7.967286563825837e-08; 
 word-addins: 5.941675595977358e-08; 
 topic_12
communication: 0.2013305127620697; 
 multicast: 0.1290769726037979; 
 windows-server-2003: 0.11309249699115753; 
 collectionview: 0.07225354015827179; 
 rating: 0.06957405805587769; 
 algebra: 0.06255197525024414; 
 ami: 0.05617666617035866; 
 ports: 0.05183406174182892; 
 today-extension: 0.04074656218290329; 
 ksql: 0.025408854708075523; 
 apple-maps: 0.024392500519752502; 
 ios8-today-widget: 0.021435832604765892; 
 rocksdb: 0.020604271441698074; 
 static-ip-address: 0.019680311903357506; 
 ios8-extension: 0.018571339547634125; 
 datawindow: 0.01783238910138607; 
 tftp: 0.017278021201491356; 
 ios-keyboard-extension: 0.015799688175320625; 
 multicastsocket: 0.012196250259876251; 
 web-platform-installer: 0.01016354188323021; 
 topic_13
colors: 0.591876745223999; 
 echo: 0.173721581697464; 
 symbols: 0.10077250003814697; 
 calculated-columns: 0.05019400268793106; 
 parentheses: 0.027998186647892; 
 rgba: 0.01510014571249485; 
 haversine: 0.010276484303176403; 
 google-earth-engine: 0.008598693646490574; 
 excel-charts: 0.0072005316615104675; 
 recurly: 0.005417876411229372; 
 laradock: 0.004928368143737316; 
 undefined-function: 0.003914852626621723; 
 color-palette: 6.941445335195695e-11; 
 argb: 2.007812666127151e-11; 
 color-space: 9.141277144963933e-13; 
 css-filters: 4.2565040034303614e-13; 
 hsl: 1.8682440577205695e-13; 
 colormatrix: 2.79592785691141e-14; 
 invert: 2.0721634450644386e-14; 
 alternate: 8.207529030327884e-15; 
 topic_14
networkstream: 0.20571407675743103; 
 asynccallback: 0.137926384806633; 
 topology: 0.10775499045848846; 
 http-put: 0.09129786491394043; 
 synapse: 0.09012235701084137; 
 proxy-server: 0.08228562772274017; 
 sslstream: 0.07409068942070007; 
 kendo-window: 0.06151830404996872; 
 http-status-code-304: 0.0591672882437706; 
 breakout: 0.045844852924346924; 
 haddock: 0.044277504086494446; 
 mediator: 1.365527135810396e-10; 
 hackage: 5.356932605837805e-11; 
 cabal: 1.8033723386129408e-12; 
 wso2ei: 7.738262071052548e-13; 
 apache-commons-vfs: 1.0402027411085188e-13; 
 kendo-listview: 1.0067622699860748e-14; 
 http-patch: 8.267421882995288e-15; 
 local-files: 6.153773135866587e-15; 
 facebook-credits: 5.539747517457156e-15; 
 topic_15
statsmodels: 0.43793627619743347; 
 calabash: 0.16804532706737518; 
 whois: 0.09929950535297394; 
 python-3.2: 0.09505593776702881; 
 calabash-android: 0.0712919533252716; 
 calabash-ios: 0.0587734617292881; 
 rmdir: 0.03706049919128418; 
 winreg: 0.032534025609493256; 
 arima: 2.7235428206040524e-06; 
 autoregressive-models: 2.731623283125373e-07; 
 domain-name: 1.0955291784853216e-08; 
 mlogit: 6.330960200529034e-10; 
 logistic-regression: 6.697102507974284e-12; 
 glm: 6.365151461462659e-12; 
 robust: 3.691825057466902e-12; 
 scikits: 1.150144324398028e-12; 
 decomposition: 2.937694846497779e-13; 
 t-test: 2.6411847969115554e-13; 
 forecast: 4.798871600119638e-14; 
 xamarin.uitest: 2.7836020452212023e-15; 
 topic_16
transpose: 0.2573041617870331; 
 large-files: 0.18532110750675201; 
 categorical-data: 0.1415666937828064; 
 asp.net-core-1.0: 0.1242060661315918; 
 get-childitem: 0.042342979460954666; 
 convolutional-neural-network: 0.03697953373193741; 
 col: 0.03683838993310928; 
 ordinal: 0.030628086999058723; 
 tsv: 0.030486945062875748; 
 dataformat: 0.030063513666391373; 
 data-munging: 0.019336625933647156; 
 ods: 0.01863091066479683; 
 labeling: 0.01623147539794445; 
 feature-engineering: 0.015384613536298275; 
 libmemcached: 0.014678899198770523; 
 copy-item: 2.37149389015201e-09; 
 .net-core-rc2: 1.969667984269563e-09; 
 data-processing: 1.6745024811193332e-10; 
 contingency: 1.3383294472646412e-10; 
 logistic-regression: 1.9198245423956983e-11; 
 topic_17
selection: 0.46478307247161865; 
 contenteditable: 0.28695768117904663; 
 fullpage.js: 0.1438136100769043; 
 chain: 0.05744509771466255; 
 visualizer: 0.02530798129737377; 
 getselection: 0.021692555397748947; 
 designmode: 4.24726698255995e-09; 
 caret: 2.755432548795511e-09; 
 textselection: 3.2808350480806325e-10; 
 contextual-action-bar: 9.79408359969014e-11; 
 chaining: 1.9641762175059974e-11; 
 richtextbox: 7.469247442770666e-12; 
 execcommand: 5.8783663700601174e-12; 
 inline-editing: 6.294225598081453e-15; 
 anchor-scroll: 5.378102290901987e-16; 
 cursor-position: 4.838615889488291e-16; 
 neighbours: 2.911697726103727e-16; 
 dom-traversal: 2.287845254956726e-16; 
 topic_18
react-jsx: 0.2752557396888733; 
 multipart: 0.2389705926179886; 
 resourcebundle: 0.11269181221723557; 
 javassist: 0.08455881476402283; 
 jmf: 0.06473784893751144; 
 digest-authentication: 0.0519501268863678; 
 ecmascript-7: 0.04619565233588219; 
 design-by-contract: 0.033088237047195435; 
 hibernate-ogm: 0.033088237047195435; 
 cloneable: 0.022698210552334785; 
 preconditions: 0.019980818033218384; 
 serviceloader: 0.016783887520432472; 
 cglib: 2.7479087894022314e-09; 
 multipartentity: 2.2945592093037703e-09; 
 ecma: 2.14855666591518e-09; 
 mime: 5.375347944536202e-10; 
 digest: 4.5025948247623404e-11; 
 reactjs.net: 3.4860166836514495e-11; 
 meteor-react: 2.4080427322298315e-12; 
 mime-message: 9.690993667266223e-13; 
 topic_19
sbt: 0.6073065996170044; 
 firebird: 0.21620747447013855; 
 firebird2.5: 0.03513640910387039; 
 sbt-assembly: 0.03226226568222046; 
 apache-spark-2.0: 0.029961831867694855; 
 spark-graphx: 0.029819240793585777; 
 wolframalpha: 0.013508476316928864; 
 sbt-plugin: 0.00941282045096159; 
 scala-option: 0.008909845724701881; 
 path-dependent-type: 0.008837992325425148; 
 firebird-3.0: 0.008621159009635448; 
 typesafe-activator: 1.2859076377935708e-05; 
 jaybird: 1.7889602759169065e-06; 
 firebird2.1: 8.920669642975554e-07; 
 sbt-native-packager: 3.709147335939633e-07; 
 firedac: 1.0870226940795646e-09; 
 playframework-2.3: 9.673921663733154e-10; 
 specs2: 3.477629573200858e-10; 
 scalac: 2.2909985020191925e-10; 
 multi-project: 1.47408141248917e-10; 
 topic_20
typescript: 0.9773697257041931; 
 typescript-typings: 0.02088269777595997; 
 ibm-cloud-private: 0.0017467663856223226; 
 angular: 7.672350648135762e-07; 
 typescript1.4: 2.3775916346835402e-08; 
 typescript3.0: 2.244703267706427e-08; 
 angular-cli-v7: 2.5700757494417914e-11; 
 definitelytyped: 1.3027724732328494e-11; 
 union-types: 5.629847716487335e-12; 
 tsconfig: 1.856361852431432e-12; 
 rxjs-pipeable-operators: 1.2238289808647052e-12; 
 tsc: 5.706457441995161e-13; 
 tsd: 3.0447172560954527e-13; 
 angular8: 2.942113241401201e-13; 
 ts-node: 1.939072004093073e-13; 
 rxjs: 1.5029824444474232e-13; 
 tsx: 1.2217277970544282e-13; 
 typescript-generics: 2.913870249146404e-14; 
 angular4: 2.493343632416472e-14; 
 systemjs: 1.6473259388527506e-14; 
 topic_21
spring-security: 0.8826767802238464; 
 filepath: 0.09977641701698303; 
 conceptual: 0.013099376112222672; 
 ucs2: 0.00443839468061924; 
 spring-security-oauth2: 3.852431291306857e-06; 
 spring-ldap: 3.5234254482929828e-06; 
 spring-saml: 8.774881621320674e-07; 
 spring-java-config: 7.38824837753782e-07; 
 spring-security-ldap: 6.643210781476228e-08; 
 spring-oauth2: 4.361798033869491e-09; 
 spring-security-rest: 6.586956674548006e-11; 
 filenames: 1.6730143746063186e-12; 
 spring-session: 4.499507591602253e-13; 
 broadleaf-commerce: 1.2492584007192664e-13; 
 oauth2: 5.162492002354184e-14; 
 session-management: 5.008247980285534e-14; 
 spring-social-facebook: 1.2143078731397753e-14; 
 ldif: 1.205126883024486e-14; 
 jsessionid: 1.7804791369963003e-15; 
 relative-path: 1.0869301479712553e-15; 
 topic_22
progress: 0.304734468460083; 
 markers: 0.14617523550987244; 
 web3: 0.1377718150615692; 
 web3js: 0.10083792358636856; 
 directions: 0.09420673549175262; 
 discriminated-union: 0.06280449032783508; 
 defined: 0.05528564378619194; 
 web-storage: 0.04621879756450653; 
 metamask: 0.026087801903486252; 
 webchromeclient: 0.025873679667711258; 
 webviewclient: 3.3746259759936947e-06; 
 driving-directions: 1.1332100591232575e-08; 
 geth: 1.6601603425314693e-09; 
 truffle: 1.3418165467626864e-09; 
 go-ethereum: 6.556841875005048e-11; 
 fisheye: 1.8894313197348467e-12; 
 remix: 1.5365061653560552e-12; 
 google-maps-direction-api: 2.9517905589422633e-13; 
 tqdm: 1.5434874244598523e-13; 
 polygons: 9.280287787695983e-15; 
 topic_23
concrete5: 0.41189268231391907; 
 jquery-post: 0.1435822993516922; 
 dokuwiki: 0.13633067905902863; 
 impresspages: 0.11167512834072113; 
 osclass: 0.10514865815639496; 
 broken-links: 0.09137056022882462; 
 graphical-logo: 3.385103031217085e-10; 
 content-management: 6.834207678940718e-12; 
 slowdown: 1.19800586009626e-13; 
 userid: 4.417322898523507e-14; 
 mysql-real-escape-string: 3.2009745653654434e-15; 
 fileset: 1.4240623899891493e-15; 
 alt: 8.084572668913266e-16; 
 multiple-versions: 4.1078233911680663e-16; 
 tableofcontents: 2.0491000190480367e-16; 
 phpinfo: 1.479644930215993e-16; 
 topic_24
laravel-4: 0.6397345662117004; 
 blade: 0.1129230409860611; 
 laravel-blade: 0.09393243491649628; 
 laravel-routing: 0.08173054456710815; 
 laravel: 0.03738035634160042; 
 laravel-nova: 0.016949549317359924; 
 cartalyst-sentry: 0.008829738944768906; 
 dingo-api: 0.008519144728779793; 
 laravel-3: 4.7323877083726984e-07; 
 laravel-5.1: 1.6329894947375578e-07; 
 mockery: 2.009572419581218e-08; 
 laravel-5: 7.741261853766446e-09; 
 laravel-facade: 4.069310444165808e-10; 
 laravel-middleware: 3.073848120482836e-11; 
 laravel-excel: 9.385100335768115e-12; 
 laravel-validation: 3.15301821110503e-13; 
 laravel-authorization: 1.7995766552272863e-13; 
 beanstalkd: 1.2462483844379035e-13; 
 voyager: 1.1480059795582892e-13; 
 laravel-authentication: 9.20614834907553e-14; 
 topic_25
document: 0.5280493497848511; 
 aspose: 0.13332808017730713; 
 abcpdf: 0.06907622516155243; 
 phonegap-cli: 0.05284879356622696; 
 pdftotext: 0.05219092592597008; 
 spark-view-engine: 0.04758584499359131; 
 aspose.words: 0.045173659920692444; 
 http-streaming: 0.04298076406121254; 
 visual-studio-2010-beta-2: 0.028726939111948013; 
 aspose.pdf: 3.9356098568532616e-05; 
 aspose-cells: 2.928679743163798e-09; 
 phonegap-desktop-app: 1.419500406107943e-09; 
 poppler: 5.053685941946995e-11; 
 jeditorpane: 1.1382421047367863e-11; 
 referrer: 7.475413517366025e-12; 
 pdf-reader: 8.636563686437171e-13; 
 tableofcontents: 7.871361982353386e-13; 
 phonegap: 7.344286854019111e-13; 
 document-management: 6.994033173793324e-13; 
 ready: 2.7792224359564355e-13; 
 topic_26
jquery-select2: 0.38716450333595276; 
 nvidia: 0.24709154665470123; 
 tablesorter: 0.186185821890831; 
 select2: 0.0819217637181282; 
 jquery-select2-4: 0.045398734509944916; 
 sammy.js: 0.02591298520565033; 
 du: 0.014690826646983624; 
 nvidia-docker: 0.01163023803383112; 
 nsight: 2.1016746813984355e-06; 
 multi-gpu: 1.4172323972161394e-06; 
 select2-rails: 3.713769913815668e-08; 
 angularjs-select2: 3.056369024534433e-08; 
 ui-select2: 1.2204592891862376e-08; 
 gpu-programming: 4.5990438124476896e-09; 
 glx: 2.0398738254101545e-11; 
 ls: 1.9456550953700358e-11; 
 ptx: 6.745110980171942e-12; 
 tegra: 4.029997256044249e-12; 
 tensorflow-gpu: 2.3676009069939496e-12; 
 tensorrt: 1.4562719519856104e-12; 
 topic_27
magento2: 0.26195651292800903; 
 sql-like: 0.18514491617679596; 
 currency: 0.1775362193584442; 
 pear: 0.11920288950204849; 
 entity-attribute-value: 0.054855067282915115; 
 low-level: 0.037753619253635406; 
 iar: 0.03326086699962616; 
 rabl: 0.02137681096792221; 
 subtotal: 0.02123188227415085; 
 rasterizing: 0.014347825199365616; 
 aliasing: 0.011014492250978947; 
 customer: 0.010652173310518265; 
 advanced-search: 0.009565216489136219; 
 correctness: 0.009202897548675537; 
 webshop: 0.00913043413311243; 
 zeos: 0.008478163741528988; 
 multiple-records: 0.00768115883693099; 
 tms: 0.007608694955706596; 
 magento-2.0: 1.5467726655060687e-07; 
 uicomponents: 1.468647514712984e-08; 
 topic_28
camera: 0.8938716053962708; 
 beanstalkd: 0.02712162211537361; 
 simpleadapter: 0.023410243913531303; 
 cyanogenmod: 0.021554553881287575; 
 getview: 0.017058072611689568; 
 mapfragment: 0.016979416832327843; 
 calibration: 4.4698890633299015e-06; 
 flashlight: 1.3209721316798095e-08; 
 autofocus: 5.0617026126076325e-09; 
 camera2: 3.0341273937750657e-09; 
 video-recording: 1.1916598263717049e-10; 
 android-camera-intent: 6.590236689696383e-11; 
 orthographic: 2.601434866134067e-11; 
 surfaceholder: 6.264640282221956e-12; 
 camera-calibration: 2.3179396770045546e-12; 
 photos: 1.5205103886042903e-12; 
 image-capture: 1.2932397123674444e-12; 
 repo: 1.1740336350665737e-12; 
 commonsware-cwac: 6.956656930200145e-13; 
 video-capture: 4.1759925053543034e-13; 
 topic_29
nsxmlparser: 0.16044248640537262; 
 qwidget: 0.14731422066688538; 
 qstring: 0.08785835653543472; 
 qtgui: 0.06437896937131882; 
 qlabel: 0.06235920265316963; 
 jqtouch: 0.056931205093860626; 
 qlineedit: 0.056804973632097244; 
 qt-signals: 0.05428030714392662; 
 coverflow: 0.034840382635593414; 
 qtcpsocket: 0.03458791598677635; 
 jquery-mobile-listview: 0.029791051521897316; 
 qmenu: 0.026508986949920654; 
 qdockwidget: 0.02373139187693596; 
 qmessagebox: 0.022595755755901337; 
 qt5.4: 0.021459655836224556; 
 jquery-mobile-collapsible: 0.0157791581004858; 
 paintevent: 0.01514799240976572; 
 qaction: 0.014895525760948658; 
 themeroller: 0.014895525760948658; 
 qslider: 0.014516825787723064; 
 topic_30
dependency-injection: 0.6698241233825684; 
 sleep: 0.08703795820474625; 
 configuration-files: 0.06785380840301514; 
 freeze: 0.05025707557797432; 
 checked: 0.02347356639802456; 
 spring.net: 0.021548395976424217; 
 ddos: 0.014995841309428215; 
 http-status-code-405: 0.012902017682790756; 
 .net-1.1: 0.01256426889449358; 
 3-tier: 0.011753169819712639; 
 vgg-net: 0.006747857667505741; 
 webpage-screenshot: 0.006653565913438797; 
 multiple-choice: 0.006349684204906225; 
 multiple-forms: 0.004255639389157295; 
 robustness: 0.003782790619879961; 
 structuremap: 6.148805908878785e-08; 
 service-locator: 5.769193478499801e-08; 
 castle-windsor: 2.2020866907723757e-08; 
 wakeup: 6.055917989300497e-09; 
 ninject-extensions: 2.8902749082959645e-09; 
 topic_31
forms-authentication: 0.4467417597770691; 
 fingerprint: 0.15713675320148468; 
 serializable: 0.1127905324101448; 
 fortify: 0.08769427984952927; 
 textchanged: 0.036646224558353424; 
 webusercontrol: 0.036503635346889496; 
 form-authentication: 0.030372165143489838; 
 app-code: 0.02181662619113922; 
 antixsslibrary: 0.02053329534828663; 
 iprincipal: 0.018251817673444748; 
 formsauthentication: 0.015970339998602867; 
 initialization-vector: 0.015542487613856792; 
 biometrics: 3.7166817179468126e-08; 
 impersonation: 5.112426038067497e-09; 
 android-fingerprint-api: 4.3239873903644366e-09; 
 touch-id: 3.5237357476347597e-10; 
 httpcookie: 9.595468863921042e-11; 
 time-and-attendance: 8.867258316502813e-11; 
 machinekey: 1.9784646143605755e-11; 
 roleprovider: 7.651636269034867e-12; 
 topic_32
window: 0.48576539754867554; 
 mutex: 0.22155193984508514; 
 restangular: 0.05796454846858978; 
 mingw-w64: 0.05515376478433609; 
 add-on: 0.04872019961476326; 
 mingw32: 0.04091247543692589; 
 resolve: 0.03322967514395714; 
 yaml-cpp: 0.014616060070693493; 
 wt: 0.011305585503578186; 
 ppl: 0.008369880728423595; 
 jsctypes: 0.008294272236526012; 
 browser-addons: 0.007307876367121935; 
 yui-pure-css: 0.006808335892856121; 
 condition-variable: 4.779385220921029e-10; 
 msys: 2.508324936645323e-10; 
 msys2: 1.2352861789022285e-10; 
 resize: 8.704026388528519e-11; 
 maximize: 6.5658099616949794e-12; 
 world-of-warcraft: 1.2465984191092905e-12; 
 mutual-exclusion: 4.2597400758646875e-13; 
 topic_33
wireless: 0.21260210871696472; 
 hosts: 0.14004896581172943; 
 percona: 0.1003684252500534; 
 browserstack: 0.0805281549692154; 
 mapbox-android: 0.058548249304294586; 
 galera: 0.05619429424405098; 
 fabric8: 0.050767749547958374; 
 accounts: 0.04104212671518326; 
 truncated: 0.03520675376057625; 
 scsi: 0.02956589311361313; 
 iterate: 0.028787842020392418; 
 windowing: 0.027426255866885185; 
 spark-streaming-kafka: 0.026064502075314522; 
 iscsi: 0.025481130927801132; 
 er-diagrams: 0.02431405708193779; 
 mapbox-marker: 0.023146657273173332; 
 wireless-connection: 0.020229294896125793; 
 dbx: 0.019645757973194122; 
 mapbox: 1.8615310182212852e-05; 
 zigbee: 1.2604323273990303e-05; 
 topic_34
angular-ui-bootstrap: 0.3864392936229706; 
 tfsbuild: 0.24986863136291504; 
 smalltalk: 0.13271577656269073; 
 pharo: 0.06981007754802704; 
 tfs2017: 0.06789269298315048; 
 jaspersoft-studio: 0.018737630918622017; 
 seaside: 0.014728967100381851; 
 build-agent: 0.012985894456505775; 
 z80: 0.01194005087018013; 
 2checkout: 0.01194005087018013; 
 alexa-app: 0.011486170813441277; 
 amazon-echo: 0.009236644953489304; 
 visualworks: 0.002197915455326438; 
 squeak: 2.0209054127917625e-05; 
 build-definition: 1.9699987419130593e-08; 
 tfs2015: 1.5116579987761725e-08; 
 tfs2010: 1.4871138986904953e-08; 
 alexa-voice-service: 2.036330437604761e-09; 
 team-build: 3.9195258150215295e-10; 
 angular-ui-typeahead: 8.387551764243995e-11; 
 topic_35
gradient: 0.42498013377189636; 
 aggregation: 0.27255886793136597; 
 html5-appcache: 0.0676104724407196; 
