,0,1
adwhirl,topic_28,0.002874456
fdt,topic_857,0.020066274
iomanip,topic_47,0.0023244994
data-url,topic_293,0.008998985
kendo-listview,topic_125,0.014639475
rvo,topic_923,0.004497989
sqlpackage,topic_460,0.011754238
nexus-4,topic_939,0.010019421
hot-module-replacement,topic_724,0.010647705
pypdf,topic_385,0.011428444
backlog,topic_436,0.005827041
screen-density,topic_988,0.014743636
modal-window,topic_258,0.004067622
boost-any,topic_611,0.005131915
matlab-uitable,topic_207,0.0073395073
dimensional,topic_178,0.004671759
database-cleaner,topic_985,0.010482261
realbasic,topic_926,0.0037329127
metatable,topic_254,0.00528643
implicits,topic_644,0.008794189
computation-expression,topic_885,0.001791168
rest-assured-jsonpath,topic_462,0.003597913
multibranch-pipeline,topic_605,0.0068834466
free-monad,topic_584,0.0012256406
unity3d-editor,topic_581,0.005221081
maven-compiler-plugin,topic_588,0.0023677167
mobilefirst-cli,topic_989,0.0052203084
single-quotes,topic_231,0.012993679
pass-data,topic_310,0.015603829
pointer-events,topic_343,0.0065605715
visual-glitch,topic_186,0.0055410163
game-theory,topic_223,0.00823332
javascript-injection,topic_973,0.007995065
hssf,topic_112,0.004521681
maven-resources-plugin,topic_520,0.008132405
xcode9-beta,topic_224,0.013548737
tpm,topic_681,0.0032538737
oci8,topic_255,0.012461557
strawberry-perl,topic_650,0.004181688
beaker,topic_479,0.005655578
2checkout,topic_34,0.0042498093
google-classroom,topic_532,0.0047684526
pointcut,topic_713,0.018524157
angularjs-select2,topic_314,0.005208943
botan,topic_751,0.004739269
redirectstandardoutput,topic_926,0.0057658604
swc,topic_71,0.019868672
qtwidgets,topic_29,0.0052240216
dxgi,topic_888,0.014766982
oledbdatareader,topic_680,0.0040540337
mbstring,topic_375,0.010220994
smtp-auth,topic_187,0.0070841494
gcc4.9,topic_923,0.0042157625
ar.drone,topic_304,0.001505013
commerce,topic_121,0.0056886496
configurationmanager,topic_704,0.011814827
syntaxhighlighter,topic_389,0.0012195929
spotipy,topic_773,0.002541261
static-initialization,topic_110,0.009453034
bulletedlist,topic_977,0.0047107595
angular-cli-v7,topic_20,0.0010380128
xtk,topic_556,0.0104728015
mnemonics,topic_757,0.004086832
nnet,topic_694,0.002826435
x-sendfile,topic_778,0.0067385766
parity,topic_895,0.0024360446
data-protection,topic_691,0.011200344
sigkill,topic_579,0.007583007
episerver-7,topic_534,0.003028223
git-merge-conflict,topic_37,0.005252431
url.action,topic_832,0.004401578
xbrl,topic_68,0.0154488515
interface-implementation,topic_264,0.0018117382
yaws,topic_277,0.017351154
copy-elision,topic_316,0.006059462
adjustment,topic_283,0.0050526634
return-value-optimization,topic_942,0.006787826
basichttpbinding,topic_428,0.004306407
spamassassin,topic_963,0.007064006
callout,topic_134,0.0050949515
parseexception,topic_402,0.0035938416
sphinxql,topic_544,0.005498477
construct-2,topic_334,0.007897002
torrent,topic_577,0.0056151063
e,topic_473,0.009296699
unauthorizedaccessexcepti,topic_903,0.00755697
epl,topic_298,0.004489538
jquery-traversing,topic_247,0.00034636052
srt,topic_645,0.0019278509
columnstore,topic_631,0.0040847333
cloneable,topic_18,0.016275592
maf,topic_726,0.006681321
type-alias,topic_518,0.013227128
progressive-enhancement,topic_53,0.0040131086
facebook-audience-network,topic_441,0.016958496
tivoli,topic_507,0.0050066416
typesafe-config,topic_980,0.009618494
metastore,topic_883,0.0027983112
ezpublish,topic_375,0.012369552
apiary,topic_874,0.0016517562
uberjar,topic_67,0.0029276286
camanjs,topic_344,0.003837455
nedb,topic_606,0.0073666195
rrd,topic_928,0.010080645
esi,topic_862,0.0057350155
stripslashes,topic_918,0.0023471543
binary-serialization,topic_734,0.0030844787
jsonobjectrequest,topic_204,0.008495375
remap,topic_812,0.0066480455
sqltransaction,topic_572,0.0030743084
setupapi,topic_658,0.0048410404
jqlite,topic_770,0.0005635438
control-m,topic_40,0.0053673196
dead-code,topic_364,0.0076863617
panda3d,topic_354,0.0054699257
gqlquery,topic_837,0.0050178585
junit-runner,topic_120,0.004358363
cropperjs,topic_744,0.0031679152
css-calc,topic_728,0.0014911097
openshift-enterprise,topic_504,0.005272928
balance,topic_818,0.005193194
webix,topic_613,0.019259654
fits,topic_464,0.016122457
standards-compliance,topic_849,0.011343108
multi-agent,topic_378,0.011238349
ninject-extensions,topic_150,0.0066781454
openseadragon,topic_973,0.0048160185
smslib,topic_402,0.002182363
jsctypes,topic_32,0.0036933282
vundle,topic_617,0.0012637553
offline-mode,topic_35,0.0056165536
kombu,topic_982,0.0067541543
mpmediapickercontroller,topic_409,0.00640385
tf-cli,topic_68,0.010809557
phar,topic_975,0.032523427
cs4,topic_300,0.0014341901
suffix,topic_910,0.0042217146
tun,topic_402,0.0022692233
project.json,topic_295,0.011424389
google-analytics-filters,topic_256,0.0035849735
server.xml,topic_851,0.009669839
scrapy-pipeline,topic_841,0.014364753
regasm,topic_360,0.015616306
malware-detection,topic_807,0.0051981197
papyrus,topic_879,0.0045257583
cadisplaylink,topic_373,0.0016142515
expectations,topic_211,0.004859269
cellular-automata,topic_284,0.0042069047
onunload,topic_0,0.0057269866
capability,topic_685,0.0018978213
xelatex,topic_551,0.0045098774
android-wallpaper,topic_968,0.004965955
range-v3,topic_94,0.007757425
lokijs,topic_764,0.0028650493
uisearchbardelegate,topic_680,0.0033101742
inversion,topic_234,0.005856029
zend-db-select,topic_614,0.0021088263
broadcasting,topic_736,0.003933415
bsxfun,topic_229,0.0076485863
winhttprequest,topic_953,0.0070572584
expression-blend-4,topic_927,0.0030573925
mongoid3,topic_776,0.0015437674
onerror,topic_293,0.016132727
wysihtml5,topic_170,0.0049641477
netweaver,topic_752,0.0050524734
xmltextreader,topic_629,0.009807878
live-sdk,topic_96,0.0056952746
libsass,topic_764,0.0033961316
flipclock,topic_973,0.0048160185
ng-build,topic_239,0.0038708886
recommender-systems,topic_837,0.004842562
ng-upgrade,topic_239,0.004421252
disjoint-sets,topic_78,0.0024630055
osrm,topic_180,0.00821956
cakephp-3.1,topic_187,0.0039356383
perlbrew,topic_510,0.0043410696
drawstring,topic_742,0.021929657
defaults,topic_680,0.0029134492
parallel-coordinates,topic_649,0.002091192
responsetext,topic_790,0.0074896114
semantic-mediawiki,topic_330,0.0037974466
emotion,topic_682,0.004637707
kvc,topic_542,0.00876373
newrelic-platform,topic_812,0.0035118668
graphdb,topic_135,0.005245734
xs,topic_945,0.004787304
reactjs.net,topic_790,0.007240787
unity-networking,topic_581,0.006044322
freeimage,topic_553,0.0032126254
xslcompiledtransform,topic_241,0.0015458209
cleartimeout,topic_457,0.008092892
munit,topic_769,0.0019587108
incremental-build,topic_981,0.0026192318
tango,topic_880,0.005876409
jmc,topic_725,0.0030987032
datapicker,topic_204,0.0075892014
android-thread,topic_367,0.0041120956
getelementsbyname,topic_17,0.0069161304
wma,topic_858,0.002294759
rstan,topic_795,0.01273861
api-ai,topic_714,0.0041023227
inputstreamreader,topic_835,0.016316604
simplex,topic_443,0.0024060619
php-7.3,topic_329,0.0057745166
database-optimization,topic_69,0.0040163915
async-ctp,topic_211,0.008192681
aslr,topic_784,0.006075913
802.11,topic_947,0.0062515065
namecheap,topic_568,0.0061483164
caffe2,topic_746,0.0064017978
ecb,topic_554,0.001768899
sobel,topic_826,0.0021991634
tdbgrid,topic_27,0.005609454
angular-changedetection,topic_992,0.0051188204
google-app-engine-php,topic_89,0.007022324
windows-10-desktop,topic_724,0.018384792
asp.net-authentication,topic_215,0.0068794433
rserve,topic_876,0.002141379
rexx,topic_200,0.003148979
appfog,topic_840,0.010090296
callgrind,topic_416,0.0016249743
eclipse-virgo,topic_807,0.0036084806
ash,topic_298,0.0057553104
graphael,topic_768,0.0054295193
argumentexception,topic_994,0.0062991385
android-account,topic_760,0.0033088834
onvif,topic_128,0.013435048
law-of-demeter,topic_195,0.0027633589
project-server,topic_459,0.005640086
multiple-value,topic_896,0.0037149438
emplace,topic_316,0.003983011
pimcore,topic_611,0.009743856
ryu,topic_581,0.004484497
messageui,topic_90,0.0069626034
itemizedoverlay,topic_904,0.0069704726
createuserwizard,topic_688,0.0048569688
zfcuser,topic_371,0.019195836
synapse,topic_14,0.025235033
frameworkelement,topic_76,0.0005308608
xnu,topic_309,0.002774435
cockroachdb,topic_3,0.0107667735
timedelay,topic_537,0.003787605
vcl-styles,topic_581,0.0077341325
bytea,topic_808,0.008222465
end-of-line,topic_905,0.0053218636
pocketpc,topic_163,0.007690128
diagramming,topic_287,0.0067457547
xps,topic_223,0.020931734
rml,topic_938,0.0062351236
enyo,topic_448,0.03502986
vmware-fusion,topic_26,0.003408427
rootview,topic_663,0.007690109
assembla,topic_66,0.0089057665
otool,topic_919,0.0070071975
file-encodings,topic_21,0.0036906588
dendextend,topic_308,0.008011772
intel-pin,topic_305,0.011580794
log4cplus,topic_701,0.0044645867
nspasteboard,topic_899,0.006234746
mod-perl2,topic_293,0.010111587
uiactivity,topic_156,0.009316882
castor,topic_670,0.00079376536
slidingpanelayout,topic_0,0.003293423
biztalk2006r2,topic_852,0.0037161268
saxparseexception,topic_608,0.0065853624
treetableview,topic_322,0.008480978
bootstrap-switch,topic_299,0.0032774105
nscell,topic_408,0.00408699
orientdb-2.1,topic_527,0.0043418044
nsstringencoding,topic_760,0.0038304809
multiple-views,topic_586,0.0034607917
pdftron,topic_725,0.004714141
xinput,topic_955,0.0041158274
autopostback,topic_260,0.04278336
error-checking,topic_125,0.017844137
mindstorms,topic_714,0.0031356122
pairing,topic_833,0.0029786804
android-anr-dialog,topic_622,0.011529651
android-configchanges,topic_968,0.005682691
timeago,topic_260,0.0169598
isa,topic_2,0.0014277938
android-actionmode,topic_810,0.0059908587
vmware-player,topic_141,0.0103869205
omnicomplete,topic_107,0.003032493
image-caching,topic_621,0.0068854876
lcm,topic_258,0.0037930147
ajax-upload,topic_451,0.005139235
filter-var,topic_978,0.0018598831
busyindicator,topic_939,0.012314619
smime,topic_632,0.009833709
post-processing,topic_873,0.01059808
column-count,topic_63,0.003968329
xuggle,topic_522,0.007446734
procedures,topic_589,0.012611462
angularjs-ng-form,topic_208,0.005795401
android-runtime,topic_719,0.006558848
addressing,topic_964,0.0021380032
sonata-media-bundle,topic_766,0.0066898535
projectile,topic_619,0.0024062977
zenity,topic_469,0.009662199
stochastic-process,topic_760,0.0035696821
shim,topic_764,0.0065546734
localizable.strings,topic_669,0.017317234
zend-gdata,topic_63,0.0057531283
pressed,topic_974,0.0040224628
nsbezierpath,topic_980,0.0076786294
telerik-open-access,topic_774,0.006931739
jquery-blockui,topic_415,0.009322106
cgpath,topic_987,0.008069214
description-logic,topic_17,0.0063121016
startactivityforresult,topic_600,0.0045021246
ag-grid-angular,topic_411,0.012749235
thunderbird-addon,topic_164,0.004330475
angular-router-guards,topic_570,0.0019299185
react-navigation-stack,topic_626,0.004190684
quickblox-android,topic_239,0.0054119057
discriminated-union,topic_22,0.010658496
mpnowplayinginfocenter,topic_618,0.00019920299
currentlocation,topic_263,0.0056552766
structural-search,topic_369,0.01619351
network-share,topic_772,0.00598919
background-size,topic_482,0.010364018
biginsights,topic_584,0.0009502158
office-2016,topic_498,0.0084086545
getenv,topic_424,0.003240472
kong,topic_605,0.010722665
jtag,topic_997,0.0023802714
chord-diagram,topic_201,0.0029130664
google-identity-toolkit,topic_262,0.005978801
node-pdfkit,topic_398,0.004321157
hyperthreading,topic_511,0.010282658
css-filters,topic_481,0.0019810933
one-definition-rule,topic_508,0.013236873
ansible-template,topic_882,0.009925396
jquery-multiselect,topic_640,0.017831668
createobject,topic_678,0.0066646845
simplecart,topic_88,0.0004609331
policies,topic_661,0.013502876
systemtime,topic_632,0.005809895
cyclic-reference,topic_998,0.0014406244
apache-httpcomponents,topic_195,0.009590481
recurring-events,topic_767,0.005704416
findby,topic_471,0.013714757
optional-parameters,topic_996,0.036846798
celltable,topic_815,0.004246083
compose,topic_942,0.007475992
xcdatamodel,topic_542,0.0050245384
eye-tracking,topic_929,0.0037082606
azure-managed-identity,topic_992,0.004066731
cancellationtokensource,topic_739,0.005236711
autoformatting,topic_939,0.016198799
logstash-file,topic_868,0.0073731565
mpld3,topic_108,0.0067958515
symfony3.x,topic_311,0.0065585366
c++-faq,topic_424,0.004949378
android-googleapiclient,topic_136,0.008340093
spark-avro,topic_8,0.007672556
database-tuning,topic_558,0.0027718504
quantlib,topic_435,0.005449676
uialertaction,topic_373,0.0020348227
unused-variables,topic_790,0.0064445497
gml,topic_156,0.01787834
unidata,topic_691,0.005559883
universe,topic_691,0.007386318
floyd-warshall,topic_904,0.005511931
multi-table,topic_333,0.0029337348
rrule,topic_767,0.0061589507
powershell-1.0,topic_381,0.003732804
windows-mobile-6,topic_435,0.0047051283
viewdata,topic_237,0.019981505
showmodaldialog,topic_415,0.007463317
data-transfer-objects,topic_150,0.003878152
portaudio,topic_103,0.024429392
perl-data-structures,topic_510,0.013462383
speaker,topic_188,0.0077390703
linqdatasource,topic_538,0.0068278927
google-oauth-java-client,topic_554,0.0020329137
client-side-scripting,topic_157,0.0049049174
persistent-connection,topic_978,0.0024769872
borderless,topic_932,0.0055600046
cassandra-cli,topic_598,0.009935167
android-gesture,topic_38,0.0032460985
zpl-ii,topic_135,0.0035417832
sphinx4,topic_60,0.0024632555
sites,topic_557,0.005775175
google-data-api,topic_479,0.011681608
web-user-controls,topic_9,0.006928009
quartz-composer,topic_156,0.009748552
ninject-2,topic_184,0.007536326
hotlinking,topic_551,0.007777411
text-indent,topic_386,0.0052919616
double-checked-locking,topic_593,0.008253409
tweetsharp,topic_429,0.009733844
updateprogress,topic_870,0.01479804
saiku,topic_244,0.006960585
gulp-concat,topic_45,0.0057228073
lower-bound,topic_264,0.0023950296
livechat,topic_875,0.007020243
themeroller,topic_582,0.0046705753
spry,topic_135,0.003176651
jquery-slider,topic_502,0.0053713867
home-button,topic_881,0.0029443216
imagettftext,topic_231,0.010234528
websub,topic_800,0.007847925
emma,topic_857,0.034548357
cons,topic_221,0.002169726
grunt-contrib-uglify,topic_863,0.009479727
sys.path,topic_665,0.0023076462
mura,topic_469,0.006370346
java-client,topic_404,0.0019825308
fcntl,topic_112,0.0076055927
touchstart,topic_661,0.017014835
du,topic_26,0.0031054555
git-tfs,topic_256,0.004775351
mql,topic_709,0.009740952
deferred-execution,topic_755,0.00782107
gin,topic_772,0.009105517
stringi,topic_868,0.008522869
requestjs,topic_816,0.0040216483
flask-restless,topic_756,0.0047775772
phpthumb,topic_149,0.005332662
axwindowsmediaplayer,topic_575,0.003717837
atk4,topic_51,0.011649077
azure-app-service-plans,topic_631,0.009072407
fdf,topic_839,0.015251494
angular2-router,topic_183,0.005252194
sqlmembershipprovider,topic_688,0.007331622
transclusion,topic_34,0.005744247
object-initializers,topic_704,0.004411645
fitnesse-slim,topic_301,0.0055630016
pathgeometry,topic_610,0.0051277573
imagedownload,topic_1,0.010905741
scaletransform,topic_54,0.009148542
android-internet,topic_129,0.014025825
batterymanager,topic_281,0.0031620883
javascript-intellisense,topic_576,0.017712723
google-cloud-console,topic_334,0.008495827
websphere-6.1,topic_938,0.01497982
apache-wink,topic_238,0.003393434
uideviceorientation,topic_417,0.0062839673
symbolicate,topic_615,0.0053979177
extjs-grid,topic_437,0.0048687872
jetpack,topic_668,0.008189645
.when,topic_230,0.01579002
immediate-window,topic_813,0.002389278
sunspot-solr,topic_655,0.008903322
openbsd,topic_453,0.002022452
3nf,topic_183,0.0072023757
timed,topic_765,0.0048454194
dlna,topic_129,0.008110171
illegal-characters,topic_726,0.0073176376
catextlayer,topic_394,0.00052392395
zipper,topic_245,0.0038394416
conversion-operator,topic_751,0.004970453
base-conversion,topic_401,0.0025773605
memory-fences,topic_97,0.008902782
ruby-1.8.7,topic_131,0.015393387
cloudfoundry-uaa,topic_832,0.0041911444
vitamio,topic_908,0.009156365
zingchart,topic_524,0.0077486085
h.265,topic_125,0.015367808
maven-cargo,topic_624,0.004999241
formidable,topic_398,0.0122889485
raft,topic_393,0.0044027003
consensus,topic_445,0.010494921
subtype,topic_989,0.0063887527
mongo-c-driver,topic_775,0.0024027366
meteor-publications,topic_981,0.0022819915
bullet,topic_619,0.002926218
ember-components,topic_117,0.00881444
wcf-endpoint,topic_176,0.0005415728
advanced-search,topic_27,0.00525013
background-fetch,topic_310,0.014817081
nstimeinterval,topic_208,0.016729236
pgi,topic_22,0.0047935033
django-login,topic_94,0.0094681885
opentbs,topic_751,0.006496267
woocommerce-bookings,topic_539,0.006707569
asp.net-core-viewcomponent,topic_856,0.008770239
icon-fonts,topic_233,0.006337177
epplus-4,topic_589,0.0074897087
elfinder,topic_6,0.0048420625
detail,topic_388,0.004575254
uilongpressgesturerecogni,topic_40,0.00524298
test-explorer,topic_764,0.0030886629
flying-saucer,topic_55,0.0118302265
session-hijacking,topic_661,0.013018468
pins,topic_68,0.009324983
vacuum,topic_621,0.0057779024
ember-cli-mirage,topic_812,0.0047859396
access-point,topic_212,0.0035064204
couchbase-sync-gateway,topic_410,0.0031179585
columnsorting,topic_178,0.010472711
screen-lock,topic_1,0.007102104
catch-block,topic_402,0.0023560834
angular-moment,topic_547,0.026328502
xmlnodelist,topic_11,0.003029633
tensorflow-gpu,topic_390,0.0055417893
constructor-overloading,topic_620,0.00768414
serviceloader,topic_18,0.012019784
html5-template,topic_167,0.0041870894
robobrowser,topic_555,0.0025879336
towers-of-hanoi,topic_679,0.009661379
jstack,topic_835,0.010391333
libtiff.net,topic_947,0.003841287
ng-bind-html,topic_842,0.007282372
capture-group,topic_690,0.005531567
barcode-printing,topic_840,0.011232593
linq-to-dataset,topic_383,0.003922143
aspectj-maven-plugin,topic_254,0.005050604
hypermedia,topic_937,0.007927597
upcasting,topic_468,0.0024796394
orchardcms-1.9,topic_714,0.0024911384
shutdown-hook,topic_648,0.013685551
dexguard,topic_751,0.0069586346
rooted-device,topic_136,0.005095315
ccnet-config,topic_156,0.008597432
database-versioning,topic_385,0.00563625
360-panorama,topic_699,0.0062334826
google-api-js-client,topic_935,0.0031536233
tasklist,topic_915,0.005113804
spark-view-engine,topic_25,0.0065495907
james,topic_18,0.017655855
quicklisp,topic_974,0.0040540113
generator-expression,topic_201,0.0028310085
segments,topic_709,0.006707274
local-network,topic_505,0.007444611
sql-limit,topic_193,0.00677455
firebird2.1,topic_766,0.003886148
shieldui,topic_280,0.01412959
ikvm,topic_360,0.019919137
winusb,topic_547,0.01779388
ecslidingviewcontroller,topic_323,0.0007195741
symfony-2.2,topic_129,0.011926722
accelerated-mobile-page,topic_666,0.0066366945
apache-commons-beanutils,topic_781,0.0040484243
azure-cosmosdb-mongoapi,topic_20,0.0014982155
moodle-api,topic_752,0.0072312346
touchableopacity,topic_828,0.003568917
maven-bundle-plugin,topic_278,0.0021051136
worldpay,topic_673,0.0059295893
imei,topic_380,0.0053293123
kobold2d,topic_812,0.004720602
pointer-arithmetic,topic_209,0.023021033
didreceivememorywarning,topic_611,0.008296973
django-formwizard,topic_859,0.022748416
query-cache,topic_811,0.0100745205
opennetcf,topic_903,0.007337131
template-haskell,topic_920,0.017604718
ansible-tower,topic_51,0.003360026
feign,topic_980,0.014090958
broccolijs,topic_774,0.0082717035
winscp-net,topic_861,0.005308241
android-api-levels,topic_335,0.0065086004
hyphen,topic_727,0.023290053
freepbx,topic_822,0.008997395
data-files,topic_817,0.0064946823
amd-processor,topic_669,0.015881931
sanic,topic_697,0.00018035615
peoplepicker,topic_528,0.001265342
ember-old-router,topic_543,0.002702045
derived-types,topic_696,0.0035771928
pci,topic_1,0.020652562
sleep-mode,topic_239,0.0056320513
rotational-matrices,topic_228,0.019609245
stackexchange-api,topic_127,0.014886076
abstract-methods,topic_924,0.0065774997
chainer,topic_114,0.017375425
razorpay,topic_54,0.0059529943
bluestacks,topic_397,0.0081627825
raven,topic_460,0.012128876
fody,topic_994,0.003923285
watson-studio,topic_132,0.016644275
bootstrap-carousel,topic_481,0.0015429221
after-effects,topic_167,0.014704423
acpi,topic_51,0.003360026
outlook-calendar,topic_191,0.002008429
jvm-bytecode,topic_82,0.0077056866
splinter,topic_287,0.014913029
polymer-3.x,topic_547,0.042914655
captiveportal,topic_536,0.0057842713
asyncdisplaykit,topic_310,0.009222431
aspose.pdf,topic_456,0.0039089406
mixer,topic_451,0.0066787414
functools,topic_270,0.0055022826
spring-boot-admin,topic_817,0.010024892
columnname,topic_183,0.010659516
side-menu,topic_417,0.0064780666
fullcalendar-3,topic_226,0.004089106
formcollection,topic_764,0.0048496197
gstreamer-1.0,topic_752,0.0068555865
hypervisor,topic_716,0.0007087963
chipmunk,topic_484,0.009529378
umask,topic_112,0.0049801003
pycassa,topic_204,0.008872947
python-db-api,topic_579,0.005325284
lampp,topic_329,0.013188088
activitygroup,topic_698,0.008312498
source-control-explorer,topic_155,0.01117438
array-intersect,topic_43,0.0040076096
android-mvvm,topic_667,0.015345346
stan,topic_795,0.018323706
opendata,topic_794,0.006290934
sysctl,topic_434,0.00059555145
mlcp,topic_375,0.0070902393
sgml,topic_377,0.005792816
batch-updates,topic_430,0.0044142725
quickfixj,topic_754,0.0032801912
spelling,topic_101,0.0026881234
report-viewer2010,topic_639,0.008070949
google-now,topic_441,0.009695201
zend-pdf,topic_493,0.009831106
voicexml,topic_678,0.005723205
tiling,topic_366,0.0059440224
dotnetnuke-5,topic_54,0.008787754
petrel,topic_680,0.0033349695
ocean,topic_680,0.0039052619
komodoedit,topic_767,0.0061134975
hardware-interface,topic_643,0.0054195253
ocunit,topic_315,0.017484846
mediacontroller,topic_504,0.0110395765
glassfish-embedded,topic_332,0.0039361874
textmatebundles,topic_335,0.0046167294
zend-framework-mvc,topic_901,0.0035574923
sql-in,topic_656,0.0033929504
datamember,topic_754,0.0030465338
data-entry,topic_368,0.0073232325
nsmutabledata,topic_758,0.0004908076
intrusion-detection,topic_998,0.0015500389
virtual-serial-port,topic_524,0.004037523
dijit.layout,topic_165,0.0025064927
